onset	duration	lh_orientation	rh_orientation
0.1661	3.000	0	90
8.1966	3.000	0	none
16.1941	3.000	0	135
24.1915	3.000	135	135
32.1887	3.000	135	none
40.1360	3.000	90	90
48.1833	3.000	135	0
56.1971	3.000	135	none
64.1779	3.000	90	135
72.1584	3.000	45	135
80.1560	3.000	45	none
88.1531	3.000	135	45
96.1838	3.000	0	0
104.2158	3.000	none	0
112.1284	3.000	45	90
120.1763	3.000	0	90
128.1727	3.000	none	90
136.1703	3.000	90	135
144.1176	3.000	90	45
152.1649	3.000	135	45
160.1623	3.000	none	45
168.1263	3.000	45	45
176.1236	3.000	90	90
184.1709	3.000	90	none
192.2014	3.000	0	0
200.1656	3.000	45	0
208.1626	3.000	45	none
216.1603	3.000	45	0
224.1576	3.000	135	45
232.1713	3.000	none	45
