onset	duration	lh_orientation	rh_orientation
0.1499	3.000	135	45
8.1805	3.000	none	45
16.1780	3.000	0	90
24.1919	3.000	0	135
32.1891	3.000	0	none
40.1697	3.000	135	90
48.1171	3.000	90	90
56.1812	3.000	none	90
64.1951	3.000	0	135
72.1925	3.000	0	0
80.1903	3.000	0	none
88.1369	3.000	45	90
96.1176	3.000	90	45
104.1825	3.000	90	none
112.1789	3.000	45	0
120.1430	3.000	90	90
128.1567	3.000	90	none
136.1541	3.000	45	135
144.1847	3.000	135	0
152.1154	3.000	90	45
160.1793	3.000	none	45
168.2100	3.000	135	135
176.1907	3.000	135	135
184.1881	3.000	none	135
192.1686	3.000	45	0
200.1995	3.000	0	0
208.2130	3.000	none	0
216.1273	3.000	45	45
224.1247	3.000	90	45
232.1719	3.000	90	none
