onset	duration	lh_orientation	rh_orientation
0.1793	3.000	135	135
8.1934	3.000	135	none
16.1734	3.000	0	90
24.1208	3.000	90	45
32.1514	3.000	none	45
40.1656	3.000	90	135
48.1960	3.000	0	135
56.1932	3.000	none	135
64.1407	3.000	90	45
72.1878	3.000	0	135
80.1850	3.000	none	135
88.1660	3.000	135	90
96.1964	3.000	135	0
104.1938	3.000	135	none
112.1579	3.000	45	0
120.1551	3.000	90	135
128.1857	3.000	none	135
136.1830	3.000	135	0
144.1302	3.000	45	90
152.1442	3.000	90	90
160.1583	3.000	90	none
168.1222	3.000	45	45
176.1528	3.000	45	0
184.1505	3.000	45	none
192.1308	3.000	45	45
200.2113	3.000	0	0
208.1922	3.000	none	0
216.1558	3.000	135	45
224.1534	3.000	0	90
232.1841	3.000	0	none
