onset	duration	lh_orientation	rh_orientation
0.1994	3.000	0	0
8.2130	3.000	none	0
16.1772	3.000	135	90
24.1577	3.000	45	135
32.1883	3.000	none	135
40.1189	3.000	45	45
48.1497	3.000	90	135
56.1809	3.000	90	none
64.1444	3.000	45	90
72.1917	3.000	135	0
80.2056	3.000	none	0
88.1528	3.000	0	45
96.1668	3.000	90	135
104.2137	3.000	none	135
112.1614	3.000	0	45
120.1919	3.000	135	135
128.1896	3.000	135	none
136.1700	3.000	0	90
144.1506	3.000	135	45
152.1479	3.000	90	90
160.1786	3.000	none	90
168.1759	3.000	135	90
176.1732	3.000	90	135
184.1874	3.000	none	135
192.1511	3.000	45	0
200.1985	3.000	0	0
208.1958	3.000	0	none
216.1598	3.000	45	0
224.1238	3.000	90	45
232.1542	3.000	none	45
