onset	duration	lh_orientation	rh_orientation
0.1970	3.000	0	0
8.2109	3.000	none	0
16.1584	3.000	90	45
24.2057	3.000	135	0
32.2028	3.000	135	none
40.2003	3.000	0	0
48.1478	3.000	45	45
56.1781	3.000	none	45
64.1922	3.000	90	135
72.1730	3.000	45	90
80.1867	3.000	none	90
88.2006	3.000	90	135
96.1647	3.000	90	90
104.1954	3.000	none	90
112.1926	3.000	45	0
120.1566	3.000	45	45
128.1873	3.000	45	none
136.2178	3.000	135	135
144.2154	3.000	0	135
152.2291	3.000	none	135
160.1932	3.000	135	90
168.1740	3.000	45	135
176.1878	3.000	45	none
184.2359	3.000	135	0
192.1825	3.000	0	90
200.2130	3.000	none	90
208.2103	3.000	135	90
216.1577	3.000	90	45
224.1882	3.000	none	45
232.1855	3.000	0	45
