onset	duration	lh_orientation	rh_orientation
0.1394	3.000	45	90
8.1531	3.000	45	none
16.1840	3.000	135	135
24.1980	3.000	0	135
32.1953	3.000	0	none
40.1925	3.000	135	135
48.1567	3.000	0	90
56.1704	3.000	none	90
64.1679	3.000	90	0
72.1652	3.000	135	45
80.1791	3.000	none	45
88.1930	3.000	135	0
96.1570	3.000	135	45
104.1878	3.000	135	none
112.1184	3.000	45	45
120.1655	3.000	90	0
128.1797	3.000	90	none
136.1770	3.000	0	90
144.1242	3.000	90	45
152.1548	3.000	90	none
160.1354	3.000	45	90
168.1491	3.000	45	135
176.1801	3.000	90	0
184.1940	3.000	none	0
192.1581	3.000	45	135
200.1554	3.000	0	45
208.1867	3.000	0	none
216.1835	3.000	90	0
224.1639	3.000	0	90
232.1944	3.000	0	none
