onset	duration	lh_orientation	rh_orientation
0.1358	3.000	90	90
8.1665	3.000	135	90
16.1967	3.000	none	90
24.1778	3.000	0	45
32.1916	3.000	135	135
40.2057	3.000	none	135
48.1698	3.000	135	45
56.1670	3.000	90	0
64.2310	3.000	none	0
72.1615	3.000	0	45
80.1756	3.000	45	0
88.2228	3.000	none	0
96.1706	3.000	45	0
104.1177	3.000	90	45
112.1484	3.000	90	none
120.1621	3.000	45	0
128.1767	3.000	135	45
136.1734	3.000	none	45
144.1542	3.000	90	135
152.1848	3.000	0	90
160.1988	3.000	0	none
168.2125	3.000	0	135
176.1769	3.000	45	135
184.2072	3.000	none	135
192.1548	3.000	90	135
200.1687	3.000	135	90
208.1992	3.000	135	none
216.1798	3.000	45	0
224.1771	3.000	0	90
232.1912	3.000	none	90
