onset	duration	frameidx	videotime	audiotime	lasttrigger
0.052	0.035	1	0.040	0.000	0.000
0.087	0.024	2	0.080	0.000	0.000
0.111	0.022	3	0.120	0.000	0.000
0.133	0.052	4	0.160	0.000	0.000
0.185	0.032	5	0.200	0.000	0.000
0.217	0.066	6	0.240	0.000	0.000
0.283	0.019	7	0.280	0.000	0.000
0.302	0.031	8	0.320	0.000	0.000
0.333	0.052	9	0.360	0.000	0.000
0.385	0.032	10	0.400	0.000	0.000
0.416	0.051	11	0.440	0.000	0.000
0.468	0.035	12	0.480	0.000	0.000
0.503	0.030	13	0.520	0.000	0.000
0.533	0.051	14	0.560	0.000	0.000
0.584	0.032	15	0.600	0.000	0.000
0.616	0.052	16	0.640	0.000	0.000
0.668	0.033	17	0.680	0.000	0.000
0.701	0.032	18	0.720	0.000	0.000
0.733	0.051	19	0.760	0.000	0.000
0.784	0.032	20	0.800	0.000	0.000
0.816	0.052	21	0.840	0.883	0.000
0.868	0.033	22	0.880	0.934	0.000
0.901	0.032	23	0.920	0.967	0.000
0.933	0.051	24	0.960	1.000	0.000
0.984	0.032	25	1.000	1.050	0.000
1.016	0.051	26	1.040	1.084	0.000
1.068	0.034	27	1.080	1.133	0.000
1.101	0.032	28	1.120	1.167	0.000
1.133	0.052	29	1.160	1.200	0.000
1.185	0.031	30	1.200	1.250	0.000
1.216	0.052	31	1.240	1.284	0.000
1.268	0.033	32	1.280	1.334	0.000
1.301	0.032	33	1.320	1.367	0.000
1.333	0.051	34	1.360	1.400	0.000
1.384	0.032	35	1.400	1.450	0.000
1.416	0.053	36	1.440	1.483	0.000
1.469	0.032	37	1.480	1.637	0.000
1.501	0.032	38	1.520	1.670	0.000
1.533	0.052	39	1.560	1.703	0.000
1.584	0.032	40	1.600	1.753	0.000
1.616	0.051	41	1.640	1.787	0.000
1.667	0.034	42	1.680	1.836	0.000
1.702	0.031	43	1.720	1.870	0.000
1.733	0.051	44	1.760	1.903	0.000
1.784	0.032	45	1.800	2.001	0.000
1.816	0.052	46	1.840	2.034	0.000
1.868	0.033	47	1.880	2.085	0.000
1.900	0.032	48	1.920	2.118	0.000
1.932	0.052	49	1.960	2.151	0.000
1.984	0.032	50	2.000	2.201	2.000
2.016	0.051	51	2.040	2.235	2.000
2.067	0.034	52	2.080	2.212	2.000
2.101	0.031	53	2.120	2.246	2.000
2.132	0.051	54	2.160	2.279	2.000
2.184	0.032	55	2.200	2.329	2.000
2.216	0.051	56	2.240	2.362	2.000
2.267	0.035	57	2.280	2.412	2.000
2.302	0.030	58	2.320	2.446	2.000
2.332	0.053	59	2.360	2.479	2.000
2.385	0.030	60	2.400	2.449	2.000
2.416	0.052	61	2.440	2.483	2.000
2.467	0.034	62	2.480	2.532	2.000
2.502	0.031	63	2.520	2.566	2.000
2.532	0.051	64	2.560	2.599	2.000
2.584	0.032	65	2.600	2.649	2.000
2.616	0.052	66	2.640	2.683	2.000
2.667	0.033	67	2.680	2.732	2.000
2.701	0.032	68	2.720	2.766	2.000
2.732	0.051	69	2.760	2.800	2.000
2.783	0.032	70	2.800	2.850	2.000
2.816	0.052	71	2.840	2.883	2.000
2.868	0.033	72	2.880	2.933	2.000
2.900	0.032	73	2.920	2.966	2.000
2.932	0.052	74	2.960	3.000	2.000
2.984	0.031	75	3.000	3.050	2.000
3.015	0.051	76	3.040	3.083	2.000
3.067	0.035	77	3.080	3.133	2.000
3.101	0.031	78	3.120	3.167	2.000
3.132	0.055	79	3.160	3.200	2.000
3.187	0.028	80	3.200	3.250	2.000
3.216	0.051	81	3.240	3.283	2.000
3.267	0.046	82	3.280	3.333	2.000
3.313	0.028	83	3.320	3.366	2.000
3.341	0.024	84	3.360	3.406	2.000
3.365	0.050	85	3.400	3.434	2.000
3.415	0.053	86	3.440	3.483	2.000
3.468	0.032	87	3.480	3.533	2.000
3.501	0.032	88	3.520	3.567	2.000
3.532	0.051	89	3.560	3.600	2.000
3.584	0.032	90	3.600	3.650	2.000
3.615	0.051	91	3.640	3.762	2.000
3.667	0.033	92	3.680	3.812	2.000
3.700	0.032	93	3.720	3.845	2.000
3.732	0.052	94	3.760	3.878	2.000
3.783	0.032	95	3.800	3.928	2.000
3.815	0.052	96	3.840	3.962	2.000
3.867	0.033	97	3.880	4.012	2.000
3.900	0.032	98	3.920	4.045	2.000
3.932	0.052	99	3.960	3.999	2.000
3.983	0.032	100	4.000	4.049	3.999
4.015	0.052	101	4.040	4.083	3.999
4.068	0.033	102	4.080	4.133	3.999
4.100	0.031	103	4.120	4.166	3.999
4.132	0.051	104	4.160	4.199	3.999
4.183	0.032	105	4.200	4.249	3.999
4.215	0.054	106	4.240	4.283	3.999
4.269	0.033	107	4.280	4.333	3.999
4.301	0.030	108	4.320	4.366	3.999
4.332	0.051	109	4.360	4.399	3.999
4.383	0.032	110	4.400	4.449	3.999
4.415	0.053	111	4.440	4.482	3.999
4.468	0.032	112	4.480	4.533	3.999
4.500	0.032	113	4.520	4.566	3.999
4.532	0.052	114	4.560	4.599	3.999
4.583	0.032	115	4.600	4.712	3.999
4.615	0.052	116	4.640	4.746	3.999
4.667	0.034	117	4.680	4.795	3.999
4.701	0.031	118	4.720	4.829	3.999
4.732	0.052	119	4.760	4.862	3.999
4.783	0.032	120	4.800	4.912	3.999
4.815	0.052	121	4.840	4.945	3.999
4.867	0.033	122	4.880	4.933	3.999
4.900	0.031	123	4.920	4.966	3.999
4.931	0.053	124	4.960	4.999	3.999
4.984	0.030	125	5.000	5.049	3.999
5.015	0.051	126	5.040	5.083	3.999
5.066	0.033	127	5.080	5.132	3.999
5.100	0.032	128	5.120	5.166	3.999
5.131	0.052	129	5.160	5.199	3.999
5.183	0.032	130	5.200	5.249	3.999
5.215	0.062	131	5.240	5.282	3.999
5.277	0.029	132	5.280	5.333	3.999
5.305	0.026	133	5.320	5.370	3.999
5.332	0.052	134	5.360	5.399	3.999
5.383	0.032	135	5.400	5.449	3.999
5.415	0.052	136	5.440	5.482	3.999
5.466	0.033	137	5.480	5.532	3.999
5.500	0.032	138	5.520	5.566	3.999
5.531	0.052	139	5.560	5.599	3.999
5.583	0.032	140	5.600	5.649	3.999
5.615	0.052	141	5.640	5.682	3.999
5.666	0.034	142	5.680	5.732	3.999
5.700	0.032	143	5.720	5.765	3.999
5.731	0.053	144	5.760	5.799	3.999
5.784	0.030	145	5.800	5.849	3.999
5.815	0.052	146	5.840	5.882	3.999
5.866	0.034	147	5.880	5.932	3.999
5.901	0.031	148	5.920	5.965	3.999
5.931	0.053	149	5.960	5.999	3.999
5.984	0.030	150	6.000	6.049	5.998
6.015	0.052	151	6.040	6.082	5.998
6.066	0.034	152	6.080	6.132	5.998
6.100	0.031	153	6.120	6.165	5.998
6.131	0.052	154	6.160	6.342	5.998
6.183	0.032	155	6.200	6.392	5.998
6.215	0.060	156	6.240	6.425	5.998
6.275	0.028	157	6.280	6.477	5.998
6.303	0.028	158	6.320	6.511	5.998
6.331	0.052	159	6.360	6.542	5.998
6.383	0.032	160	6.400	6.591	5.998
6.414	0.052	161	6.440	6.625	5.998
6.466	0.032	162	6.480	6.603	5.998
6.498	0.052	163	6.520	6.636	5.998
6.550	0.034	164	6.560	6.686	5.998
6.584	0.031	165	6.600	6.719	5.998
6.614	0.051	166	6.640	6.753	5.998
6.666	0.032	167	6.680	6.803	5.998
6.698	0.052	168	6.720	6.836	5.998
6.750	0.033	169	6.760	6.814	5.998
6.782	0.032	170	6.800	6.847	5.998
6.814	0.052	171	6.840	6.881	5.998
6.866	0.032	172	6.880	6.930	5.998
6.898	0.051	173	6.920	6.964	5.998
6.949	0.033	174	6.960	7.014	5.998
6.982	0.032	175	7.000	7.047	5.998
7.014	0.053	176	7.040	7.081	5.998
7.067	0.030	177	7.080	7.133	5.998
7.097	0.052	178	7.120	7.165	5.998
7.149	0.033	179	7.160	7.215	5.998
7.182	0.032	180	7.200	7.248	5.998
7.214	0.052	181	7.240	7.281	5.998
7.266	0.031	182	7.280	7.332	5.998
7.297	0.052	183	7.320	7.365	5.998
7.349	0.033	184	7.360	7.415	5.998
7.382	0.032	185	7.400	7.448	5.998
7.414	0.052	186	7.440	7.482	5.998
7.466	0.032	187	7.480	7.532	5.998
7.497	0.051	188	7.520	7.565	5.998
7.549	0.035	189	7.560	7.615	5.998
7.584	0.030	190	7.600	7.648	5.998
7.614	0.054	191	7.640	7.682	5.998
7.668	0.029	192	7.680	7.732	5.998
7.697	0.053	193	7.720	7.788	5.998
7.750	0.032	194	7.760	7.838	5.998
7.783	0.032	195	7.800	7.872	5.998
7.814	0.052	196	7.840	7.905	5.998
7.866	0.031	197	7.880	7.955	5.998
7.897	0.052	198	7.920	7.988	5.998
7.949	0.035	199	7.960	8.038	5.998
7.984	0.029	200	8.000	8.071	7.998
8.014	0.053	201	8.040	8.113	7.998
8.067	0.030	202	8.080	8.162	7.998
8.097	0.053	203	8.120	8.196	7.998
8.150	0.032	204	8.160	8.246	7.998
8.182	0.031	205	8.200	8.279	7.998
8.214	0.051	206	8.240	8.312	7.998
8.265	0.032	207	8.280	8.362	7.998
8.297	0.051	208	8.320	8.404	7.998
8.348	0.034	209	8.360	8.454	7.998
8.383	0.031	210	8.400	8.487	7.998
8.414	0.052	211	8.440	8.520	7.998
8.466	0.031	212	8.480	8.570	7.998
8.497	0.052	213	8.520	8.604	7.998
8.549	0.033	214	8.560	8.654	7.998
8.582	0.032	215	8.600	8.687	7.998
8.614	0.051	216	8.640	8.682	7.998
8.665	0.032	217	8.680	8.731	7.998
8.697	0.051	218	8.720	8.765	7.998
8.748	0.034	219	8.760	8.814	7.998
8.782	0.031	220	8.800	8.848	7.998
8.814	0.053	221	8.840	8.881	7.998
8.866	0.031	222	8.880	8.931	7.998
8.897	0.052	223	8.920	8.965	7.998
8.948	0.033	224	8.960	9.014	7.998
8.982	0.032	225	9.000	9.048	7.998
9.014	0.051	226	9.040	9.081	7.998
9.065	0.032	227	9.080	9.131	7.998
9.097	0.059	228	9.120	9.164	7.998
9.156	0.035	229	9.160	9.214	7.998
9.191	0.022	230	9.200	9.249	7.998
9.214	0.053	231	9.240	9.285	7.998
9.266	0.030	232	9.280	9.434	7.998
9.297	0.052	233	9.320	9.467	7.998
9.349	0.033	234	9.360	9.517	7.998
9.382	0.032	235	9.400	9.550	7.998
9.413	0.051	236	9.440	9.584	7.998
9.465	0.032	237	9.480	9.634	7.998
9.497	0.052	238	9.520	9.667	7.998
9.549	0.033	239	9.560	9.645	7.998
9.582	0.031	240	9.600	9.679	7.998
9.613	0.052	241	9.640	9.712	7.998
9.665	0.032	242	9.680	9.762	7.998
9.697	0.062	243	9.720	9.795	7.998
9.758	0.034	244	9.760	9.846	7.998
9.792	0.021	245	9.800	9.883	7.998
9.813	0.052	246	9.840	9.916	7.998
9.865	0.031	247	9.880	9.970	7.998
9.897	0.052	248	9.920	10.003	7.998
9.948	0.034	249	9.960	10.053	7.998
9.983	0.031	250	10.000	10.087	9.997
10.013	0.052	251	10.040	10.120	9.997
10.065	0.032	252	10.080	10.169	9.997
10.096	0.051	253	10.120	10.203	9.997
10.148	0.034	254	10.160	10.253	9.997
10.181	0.032	255	10.200	10.247	9.997
10.213	0.053	256	10.240	10.280	9.997
10.266	0.030	257	10.280	10.331	9.997
10.297	0.051	258	10.320	10.364	9.997
10.348	0.033	259	10.360	10.414	9.997
10.381	0.032	260	10.400	10.447	9.997
10.413	0.052	261	10.440	10.480	9.997
10.465	0.032	262	10.480	10.530	9.997
10.496	0.051	263	10.520	10.564	9.997
10.547	0.034	264	10.560	10.614	9.997
10.581	0.032	265	10.600	10.647	9.997
10.613	0.052	266	10.640	10.680	9.997
10.665	0.032	267	10.680	10.731	9.997
10.696	0.052	268	10.720	10.764	9.997
10.748	0.033	269	10.760	10.814	9.997
10.781	0.032	270	10.800	10.847	9.997
10.813	0.051	271	10.840	10.903	9.997
10.864	0.032	272	10.880	10.953	9.997
10.896	0.052	273	10.920	10.987	9.997
10.948	0.033	274	10.960	11.037	9.997
10.981	0.032	275	11.000	11.070	9.997
11.013	0.051	276	11.040	11.103	9.997
11.064	0.032	277	11.080	11.153	9.997
11.096	0.051	278	11.120	11.187	9.997
11.148	0.034	279	11.160	11.245	9.997
11.182	0.031	280	11.200	11.278	9.997
11.213	0.052	281	11.240	11.311	9.997
11.264	0.032	282	11.280	11.361	9.997
11.296	0.052	283	11.320	11.395	9.997
11.348	0.033	284	11.360	11.445	9.997
11.381	0.031	285	11.400	11.478	9.997
11.413	0.051	286	11.440	11.511	9.997
11.464	0.032	287	11.480	11.569	9.997
11.496	0.055	288	11.520	11.603	9.997
11.552	0.031	289	11.560	11.652	9.997
11.583	0.030	290	11.600	11.686	9.997
11.613	0.053	291	11.640	11.719	9.997
11.665	0.031	292	11.680	11.769	9.997
11.696	0.052	293	11.720	11.802	9.997
11.748	0.033	294	11.760	11.813	9.997
11.781	0.032	295	11.800	11.846	9.997
11.813	0.052	296	11.840	11.880	9.997
11.864	0.032	297	11.880	11.930	9.997
11.896	0.052	298	11.920	11.963	9.997
11.948	0.033	299	11.960	12.013	9.997
11.981	0.032	300	12.000	12.047	11.996
12.013	0.051	301	12.040	12.080	11.996
12.064	0.032	302	12.080	12.130	11.996
12.096	0.053	303	12.120	12.163	11.996
12.149	0.032	304	12.160	12.214	11.996
12.181	0.032	305	12.200	12.247	11.996
12.212	0.052	306	12.240	12.280	11.996
12.265	0.031	307	12.280	12.330	11.996
12.296	0.054	308	12.320	12.364	11.996
12.350	0.032	309	12.360	12.413	11.996
12.381	0.031	310	12.400	12.447	11.996
12.412	0.053	311	12.440	12.480	11.996
12.465	0.030	312	12.480	12.530	11.996
12.496	0.052	313	12.520	12.564	11.996
12.547	0.033	314	12.560	12.613	11.996
12.581	0.032	315	12.600	12.647	11.996
12.612	0.056	316	12.640	12.680	11.996
12.668	0.027	317	12.680	12.721	11.996
12.696	0.051	318	12.720	12.754	11.996
12.747	0.033	319	12.760	12.804	11.996
12.780	0.032	320	12.800	12.837	11.996
12.812	0.051	321	12.840	12.871	11.996
12.864	0.032	322	12.880	12.921	11.996
12.896	0.052	323	12.920	12.954	11.996
12.947	0.033	324	12.960	13.004	11.996
12.980	0.032	325	13.000	13.125	11.996
13.012	0.053	326	13.040	13.159	11.996
13.065	0.030	327	13.080	13.209	11.996
13.096	0.052	328	13.120	13.242	11.996
13.147	0.035	329	13.160	13.292	11.996
13.182	0.030	330	13.200	13.325	11.996
13.212	0.052	331	13.240	13.359	11.996
13.264	0.032	332	13.280	13.409	11.996
13.296	0.052	333	13.320	13.363	11.996
13.347	0.033	334	13.360	13.413	11.996
13.380	0.032	335	13.400	13.446	11.996
13.412	0.051	336	13.440	13.479	11.996
13.463	0.032	337	13.480	13.529	11.996
13.495	0.053	338	13.520	13.563	11.996
13.549	0.032	339	13.560	13.613	11.996
13.581	0.031	340	13.600	13.646	11.996
13.612	0.052	341	13.640	13.689	11.996
13.664	0.031	342	13.680	13.739	11.996
13.695	0.051	343	13.720	13.772	11.996
13.747	0.035	344	13.760	13.822	11.996
13.782	0.030	345	13.800	13.855	11.996
13.812	0.051	346	13.840	13.889	11.996
13.863	0.032	347	13.880	13.938	11.996
13.895	0.052	348	13.920	13.972	11.996
13.947	0.033	349	13.960	14.013	11.996
13.980	0.032	350	14.000	14.046	13.996
14.012	0.051	351	14.040	14.080	13.996
14.063	0.032	352	14.080	14.129	13.996
14.095	0.053	353	14.120	14.163	13.996
14.149	0.032	354	14.160	14.213	13.996
14.180	0.032	355	14.200	14.246	13.996
14.212	0.054	356	14.240	14.279	13.996
14.266	0.029	357	14.280	14.400	13.996
14.295	0.051	358	14.320	14.434	13.996
14.346	0.037	359	14.360	14.484	13.996
14.383	0.029	360	14.400	14.517	13.996
14.412	0.051	361	14.440	14.551	13.996
14.463	0.032	362	14.480	14.600	13.996
14.495	0.054	363	14.520	14.634	13.996
14.549	0.031	364	14.560	14.691	13.996
14.580	0.032	365	14.600	14.725	13.996
14.612	0.053	366	14.640	14.758	13.996
14.665	0.030	367	14.680	14.808	13.996
14.695	0.051	368	14.720	14.842	13.996
14.746	0.035	369	14.760	14.891	13.996
14.781	0.031	370	14.800	14.925	13.996
14.812	0.052	371	14.840	14.958	13.996
14.864	0.031	372	14.880	14.929	13.996
14.895	0.051	373	14.920	14.962	13.996
14.946	0.036	374	14.960	15.012	13.996
14.982	0.029	375	15.000	15.046	13.996
15.012	0.051	376	15.040	15.079	13.996
15.063	0.032	377	15.080	15.129	13.996
15.095	0.051	378	15.120	15.162	13.996
15.146	0.036	379	15.160	15.212	13.996
15.182	0.029	380	15.200	15.246	13.996
15.212	0.052	381	15.240	15.279	13.996
15.263	0.032	382	15.280	15.329	13.996
15.295	0.052	383	15.320	15.362	13.996
15.346	0.036	384	15.360	15.412	13.996
15.383	0.029	385	15.400	15.445	13.996
15.412	0.052	386	15.440	15.479	13.996
15.463	0.031	387	15.480	15.529	13.996
15.495	0.051	388	15.520	15.545	13.996
15.546	0.032	389	15.560	15.595	13.996
15.578	0.053	390	15.600	15.628	13.996
15.631	0.032	391	15.640	15.679	13.996
15.663	0.032	392	15.680	15.712	13.996
15.695	0.054	393	15.720	15.745	13.996
15.749	0.037	394	15.760	15.795	13.996
15.786	0.026	395	15.800	15.829	13.996
15.811	0.054	396	15.840	15.950	13.996
15.866	0.029	397	15.880	16.000	13.996
15.895	0.051	398	15.920	16.033	13.996
15.946	0.032	399	15.960	16.083	13.996
15.978	0.052	400	16.000	16.116	15.996
16.029	0.033	401	16.040	16.166	15.996
16.063	0.032	402	16.080	16.200	15.996
16.095	0.052	403	16.120	16.162	15.996
16.146	0.032	404	16.160	16.212	15.996
16.178	0.055	405	16.200	16.245	15.996
16.233	0.030	406	16.240	16.295	15.996
16.262	0.032	407	16.280	16.329	15.996
16.294	0.053	408	16.320	16.362	15.996
16.347	0.031	409	16.360	16.412	15.996
16.378	0.051	410	16.400	16.445	15.996
16.429	0.038	411	16.440	16.495	15.996
16.467	0.027	412	16.480	16.528	15.996
16.494	0.051	413	16.520	16.562	15.996
16.546	0.032	414	16.560	16.612	15.996
16.578	0.053	415	16.600	16.645	15.996
16.631	0.032	416	16.640	16.695	15.996
16.663	0.032	417	16.680	16.728	15.996
16.694	0.052	418	16.720	16.762	15.996
16.746	0.031	419	16.760	16.812	15.996
16.778	0.053	420	16.800	16.845	15.996
16.831	0.032	421	16.840	16.895	15.996
16.862	0.032	422	16.880	16.928	15.996
16.894	0.059	423	16.920	16.962	15.996
16.954	0.031	424	16.960	17.013	15.996
16.985	0.026	425	17.000	17.048	15.996
17.011	0.057	426	17.040	17.079	15.996
17.068	0.026	427	17.080	17.111	15.996
17.094	0.051	428	17.120	17.145	15.996
17.145	0.032	429	17.160	17.195	15.996
17.177	0.051	430	17.200	17.228	15.996
17.229	0.033	431	17.240	17.278	15.996
17.262	0.032	432	17.280	17.311	15.996
17.294	0.055	433	17.320	17.345	15.996
17.349	0.028	434	17.360	17.483	15.996
17.377	0.053	435	17.400	17.516	15.996
17.430	0.032	436	17.440	17.566	15.996
17.462	0.032	437	17.480	17.599	15.996
17.494	0.053	438	17.520	17.633	15.996
17.547	0.030	439	17.560	17.683	15.996
17.577	0.051	440	17.600	17.716	15.996
17.629	0.035	441	17.640	17.766	15.996
17.664	0.030	442	17.680	17.728	15.996
17.694	0.052	443	17.720	17.761	15.996
17.746	0.032	444	17.760	17.812	15.996
17.777	0.052	445	17.800	17.845	15.996
17.829	0.033	446	17.840	17.895	15.996
17.862	0.032	447	17.880	17.928	15.996
17.894	0.051	448	17.920	17.962	15.996
17.945	0.032	449	17.960	18.011	15.996
17.977	0.053	450	18.000	18.045	17.996
18.030	0.032	451	18.040	18.095	17.996
18.062	0.032	452	18.080	18.128	17.996
18.094	0.053	453	18.120	18.161	17.996
18.147	0.030	454	18.160	18.211	17.996
18.177	0.051	455	18.200	18.244	17.996
18.229	0.035	456	18.240	18.294	17.996
18.264	0.030	457	18.280	18.328	17.996
18.294	0.052	458	18.320	18.361	17.996
18.346	0.032	459	18.360	18.411	17.996
18.377	0.057	460	18.400	18.445	17.996
18.434	0.030	461	18.440	18.494	17.996
18.465	0.029	462	18.480	18.528	17.996
18.494	0.052	463	18.520	18.561	17.996
18.545	0.032	464	18.560	18.611	17.996
18.577	0.051	465	18.600	18.644	17.996
18.628	0.034	466	18.640	18.757	17.996
18.663	0.031	467	18.680	18.791	17.996
18.694	0.052	468	18.720	18.824	17.996
18.745	0.032	469	18.760	18.874	17.996
18.777	0.052	470	18.800	18.908	17.996
18.829	0.033	471	18.840	18.957	17.996
18.862	0.032	472	18.880	18.991	17.996
18.894	0.051	473	18.920	19.024	17.996
18.945	0.032	474	18.960	19.011	17.996
18.977	0.053	475	19.000	19.044	17.996
19.030	0.032	476	19.040	19.095	17.996
19.061	0.032	477	19.080	19.128	17.996
19.093	0.053	478	19.120	19.161	17.996
