onset	duration	lh_orientation	rh_orientation
0.8546	3.000	45	0
8.2022	3.000	90	0
16.2990	3.000	90	none
24.2301	3.000	135	90
32.2274	3.000	135	135
40.3409	3.000	none	135
48.2553	3.000	0	45
56.2192	3.000	135	0
64.3328	3.000	none	0
72.1804	3.000	90	90
80.1613	3.000	45	90
88.2918	3.000	45	none
96.1558	3.000	45	90
104.2029	3.000	135	0
112.3004	3.000	none	0
120.1640	3.000	90	135
128.2294	3.000	135	0
136.3259	3.000	none	0
144.1731	3.000	0	45
152.1375	3.000	45	45
160.2672	3.000	none	45
168.1648	3.000	45	90
176.1799	3.000	0	45
184.2759	3.000	none	45
192.2232	3.000	90	135
200.1885	3.000	90	135
208.2511	3.000	90	none
216.1988	3.000	0	135
224.1796	3.000	0	45
232.3267	3.000	none	45
