onset	duration	lh_orientation	rh_orientation
0.1250	3.000	45	45
8.1556	3.000	none	45
16.1364	3.000	90	90
24.1172	3.000	45	45
32.1641	3.000	none	45
40.1615	3.000	45	0
48.1589	3.000	135	45
56.1730	3.000	none	45
64.1870	3.000	0	135
72.1176	3.000	45	45
80.1648	3.000	none	45
88.1959	3.000	0	135
96.1931	3.000	135	0
104.1906	3.000	135	none
112.1709	3.000	90	0
120.1516	3.000	90	135
128.1988	3.000	none	135
136.1461	3.000	90	90
144.1602	3.000	135	90
152.1909	3.000	135	none
160.1549	3.000	45	0
168.1354	3.000	90	90
176.1666	3.000	90	none
184.1635	3.000	0	45
192.1941	3.000	0	0
200.2077	3.000	0	none
208.1721	3.000	135	90
216.1858	3.000	135	135
224.1832	3.000	none	135
232.1971	3.000	0	135
