onset	duration	lh_orientation	rh_orientation
0.1643	3.000	45	0
8.2120	3.000	none	0
16.1755	3.000	0	90
24.1229	3.000	90	45
32.1700	3.000	none	45
40.1509	3.000	135	90
48.1647	3.000	135	90
56.1787	3.000	none	90
64.1928	3.000	0	135
72.1899	3.000	0	135
80.2041	3.000	none	135
88.1515	3.000	135	45
96.1986	3.000	0	135
104.1958	3.000	none	135
112.1931	3.000	0	0
120.1241	3.000	45	90
128.1545	3.000	90	0
136.2015	3.000	none	0
144.1325	3.000	45	45
152.1632	3.000	135	90
160.1771	3.000	none	90
168.1577	3.000	45	135
176.1716	3.000	90	0
184.1526	3.000	90	none
192.1498	3.000	90	45
200.1801	3.000	90	135
208.1943	3.000	none	135
216.1751	3.000	45	0
224.1556	3.000	135	45
232.2037	3.000	135	none
