onset	duration	lh_orientation	rh_orientation
0.1566	3.000	90	0
8.1204	3.000	45	90
16.1512	3.000	45	none
24.2151	3.000	135	135
32.1791	3.000	135	0
40.2273	3.000	none	0
48.1738	3.000	135	90
56.1878	3.000	0	135
64.1850	3.000	0	none
72.1657	3.000	135	45
80.1962	3.000	0	0
88.1941	3.000	none	0
96.1908	3.000	135	0
104.1216	3.000	45	90
112.1521	3.000	45	none
120.1828	3.000	0	135
128.1801	3.000	90	0
136.1608	3.000	90	none
144.1748	3.000	0	90
152.1220	3.000	90	45
160.1694	3.000	none	45
168.1332	3.000	90	45
176.1307	3.000	45	45
184.1612	3.000	none	45
192.1916	3.000	0	135
200.1395	3.000	45	90
208.1702	3.000	none	90
216.1678	3.000	90	135
224.1313	3.000	45	45
232.1617	3.000	none	45
