onset	duration	lh_orientation	rh_orientation
0.1838	3.000	0	135
8.1979	3.000	none	135
16.1785	3.000	90	135
24.1589	3.000	45	0
32.2062	3.000	none	0
40.1204	3.000	45	45
48.1177	3.000	90	45
56.1816	3.000	none	45
64.1956	3.000	135	135
72.1261	3.000	45	45
80.1568	3.000	45	none
88.1709	3.000	0	90
96.1182	3.000	45	45
104.1654	3.000	none	45
112.1461	3.000	90	90
120.1601	3.000	90	135
128.2073	3.000	none	135
136.1881	3.000	0	135
144.1188	3.000	45	45
152.1662	3.000	45	none
160.2133	3.000	0	0
168.1607	3.000	135	90
176.1913	3.000	135	none
184.2051	3.000	135	0
192.1859	3.000	135	0
200.2002	3.000	135	none
208.2139	3.000	0	0
216.1779	3.000	135	90
224.1919	3.000	135	none
232.1390	3.000	90	90
