onset	duration	lh_orientation	rh_orientation
0.1387	3.000	45	90
8.1691	3.000	45	none
16.2000	3.000	0	135
24.1805	3.000	45	0
32.2119	3.000	none	0
40.2251	3.000	135	0
48.1725	3.000	135	45
56.2031	3.000	135	none
64.1505	3.000	45	90
72.1813	3.000	45	135
80.1785	3.000	45	none
88.2090	3.000	135	0
96.1731	3.000	0	45
104.1704	3.000	none	45
112.1511	3.000	90	90
120.1649	3.000	90	90
128.1790	3.000	135	90
136.2097	3.000	135	none
144.2071	3.000	135	135
152.2044	3.000	0	135
160.2017	3.000	0	none
168.1823	3.000	45	0
176.1796	3.000	90	0
184.2107	3.000	none	0
192.1576	3.000	90	135
200.1550	3.000	0	45
208.1520	3.000	none	45
216.1829	3.000	0	45
224.1300	3.000	90	45
232.1610	3.000	90	none
