onset	duration	lh_orientation	rh_orientation
0.1861	3.000	135	135
8.2499	3.000	none	135
16.1980	3.000	135	135
24.2118	3.000	135	135
32.2589	3.000	135	none
40.1729	3.000	45	0
48.1704	3.000	90	135
56.2343	3.000	90	none
64.1815	3.000	0	90
72.1453	3.000	90	45
80.2429	3.000	90	none
88.1403	3.000	45	45
96.1376	3.000	45	90
104.2349	3.000	45	none
112.1988	3.000	0	0
120.1467	3.000	0	45
128.2599	3.000	none	45
136.1409	3.000	90	45
144.1215	3.000	90	90
152.1527	3.000	0	90
160.2493	3.000	0	none
168.2132	3.000	135	0
176.1440	3.000	0	45
184.2580	3.000	0	none
192.1555	3.000	90	90
200.1359	3.000	45	135
208.2173	3.000	45	none
216.1973	3.000	135	0
224.1780	3.000	45	0
232.2252	3.000	45	none
