onset	duration	lh_orientation	rh_orientation
0.1519	3.000	45	45
8.3158	3.000	none	45
16.1470	3.000	45	90
24.1939	3.000	135	90
32.2580	3.000	0	135
40.2883	3.000	none	135
48.2695	3.000	90	135
56.1665	3.000	0	45
64.2809	3.000	0	none
72.1781	3.000	135	90
80.1924	3.000	135	135
88.2718	3.000	none	135
96.2703	3.000	0	0
104.1506	3.000	90	45
112.2306	3.000	none	45
120.1620	3.000	45	0
128.2095	3.000	0	0
136.2730	3.000	0	none
144.1375	3.000	90	45
152.2012	3.000	0	135
160.2810	3.000	none	135
168.1621	3.000	135	90
176.1600	3.000	45	0
184.2401	3.000	45	none
192.1706	3.000	90	135
200.1349	3.000	45	90
208.2317	3.000	none	90
216.1630	3.000	90	0
224.1773	3.000	135	45
232.2403	3.000	none	45
