onset	duration	lh_orientation	rh_orientation
0.1630	3.000	90	45
8.2768	3.000	90	none
16.1908	3.000	90	135
24.1715	3.000	90	135
32.3017	3.000	none	135
40.1827	3.000	45	0
48.2302	3.000	135	0
56.2938	3.000	135	none
64.2246	3.000	135	135
72.1555	3.000	45	90
80.1695	3.000	0	45
88.2835	3.000	0	none
96.2138	3.000	0	90
104.1610	3.000	90	90
112.2586	3.000	90	none
120.1893	3.000	45	0
128.1534	3.000	45	45
136.2339	3.000	none	45
144.1975	3.000	135	45
152.1954	3.000	135	90
160.2754	3.000	none	90
168.2233	3.000	0	0
176.2206	3.000	0	135
184.2840	3.000	none	135
192.1649	3.000	90	45
200.2122	3.000	0	135
208.2929	3.000	0	none
216.2236	3.000	135	0
224.1548	3.000	45	90
232.2516	3.000	none	90
