onset	duration	lh_orientation	rh_orientation
0.1296	3.000	45	45
8.2437	3.000	45	none
16.1910	3.000	135	0
24.1556	3.000	135	90
32.2353	3.000	none	90
40.1496	3.000	90	0
48.1643	3.000	135	45
56.1444	3.000	0	90
64.2589	3.000	0	none
72.1887	3.000	135	0
80.1364	3.000	0	45
88.2501	3.000	none	45
96.1472	3.000	45	90
104.1783	3.000	90	135
112.2252	3.000	90	none
120.1728	3.000	90	0
128.1869	3.000	0	135
136.2842	3.000	0	none
144.1315	3.000	45	45
152.1619	3.000	90	135
160.2426	3.000	90	none
168.2068	3.000	0	0
176.1378	3.000	45	90
184.2179	3.000	45	none
192.1652	3.000	90	135
200.1627	3.000	45	90
208.2267	3.000	45	none
216.1738	3.000	135	45
224.1879	3.000	0	135
232.2686	3.000	0	none
