onset	duration	lh_orientation	rh_orientation
0.2204	3.000	45	90
8.2505	3.000	none	90
16.1977	3.000	45	45
24.2781	3.000	90	135
32.2422	3.000	135	45
40.2560	3.000	none	45
48.2887	3.000	90	0
56.3339	3.000	0	135
64.2817	3.000	0	none
72.2784	3.000	45	135
80.1922	3.000	90	45
88.2228	3.000	none	45
96.2369	3.000	90	45
104.1839	3.000	45	90
112.2647	3.000	none	90
120.2452	3.000	135	90
128.2758	3.000	0	0
136.2897	3.000	0	none
144.2870	3.000	0	135
152.2842	3.000	0	0
160.3148	3.000	0	none
168.2286	3.000	135	45
176.2425	3.000	135	90
184.2899	3.000	135	none
192.2373	3.000	45	0
200.3343	3.000	0	135
208.2816	3.000	0	none
216.1954	3.000	90	90
224.2927	3.000	135	0
232.2900	3.000	none	0
