onset	duration	lh_orientation	rh_orientation
0.2426	3.000	90	135
7.9900	3.000	none	135
15.9372	3.000	0	0
23.9011	3.000	45	135
31.9486	3.000	0	0
39.9791	3.000	0	none
47.8931	3.000	90	90
55.8736	3.000	45	90
63.9209	3.000	none	90
71.9181	3.000	90	135
79.9651	3.000	0	0
87.9792	3.000	none	0
95.8763	3.000	45	90
103.9569	3.000	135	45
111.9710	3.000	135	none
119.9514	3.000	135	45
127.9155	3.000	90	90
135.9461	3.000	90	none
143.9098	3.000	0	45
151.9072	3.000	45	45
159.9376	3.000	none	45
167.9850	3.000	135	0
175.9656	3.000	135	90
183.9295	3.000	none	90
191.9099	3.000	45	0
199.8905	3.000	90	45
207.9383	3.000	none	45
216.0185	3.000	0	135
223.9824	3.000	135	135
231.9967	3.000	none	135
