onset	duration	lh_orientation	rh_orientation
0.2103	3.000	0	0
8.2076	3.000	none	0
16.2049	3.000	135	135
24.1688	3.000	0	45
32.1994	3.000	0	none
40.2135	3.000	0	0
48.1942	3.000	90	0
56.2079	3.000	none	0
64.1888	3.000	90	135
72.1693	3.000	90	135
80.1667	3.000	90	none
88.1974	3.000	0	90
96.2115	3.000	135	135
104.2085	3.000	none	135
112.1893	3.000	135	90
120.1532	3.000	135	45
128.2005	3.000	135	none
136.1478	3.000	45	90
144.1286	3.000	45	45
152.1593	3.000	45	none
160.2064	3.000	135	0
168.1706	3.000	0	45
176.1344	3.000	45	90
184.1651	3.000	45	none
192.1793	3.000	90	135
200.1598	3.000	45	0
208.2077	3.000	none	0
216.1380	3.000	90	45
224.1185	3.000	45	90
232.1825	3.000	none	90
