onset	duration	lh_orientation	rh_orientation
0.2020	3.000	135	0
8.1993	3.000	135	none
16.1802	3.000	45	0
24.1442	3.000	45	90
32.1746	3.000	45	none
40.1887	3.000	90	135
48.1358	3.000	90	45
56.1665	3.000	0	45
64.2138	3.000	0	none
72.1945	3.000	0	45
80.1919	3.000	0	45
88.2224	3.000	0	none
96.1866	3.000	90	0
104.1838	3.000	90	135
112.1979	3.000	90	none
120.1947	3.000	135	90
128.2258	3.000	0	0
136.2232	3.000	none	0
144.2037	3.000	90	0
152.2177	3.000	135	135
160.2151	3.000	none	135
168.1959	3.000	45	135
176.1930	3.000	135	90
184.2069	3.000	none	90
192.1711	3.000	45	90
200.1849	3.000	135	45
208.2318	3.000	135	none
216.1796	3.000	45	90
224.2268	3.000	0	135
232.2241	3.000	0	none
