onset	duration	frameidx	videotime	audiotime
0.025	0.033	1	0.040	3.193
0.058	0.033	2	0.080	3.225
0.091	0.033	3	0.120	3.259
0.125	0.167	4	0.160	3.292
0.291	0.042	5	0.200	0.141
0.333	0.050	6	0.240	0.183
0.383	0.050	7	0.280	0.233
0.433	0.025	8	0.320	0.283
0.458	0.050	9	0.360	0.308
0.508	0.050	10	0.400	0.358
0.558	0.025	11	0.440	0.408
0.583	0.050	12	0.480	0.433
0.633	0.050	13	0.520	0.483
0.683	0.025	14	0.560	0.533
0.708	0.050	15	0.600	0.961
0.758	0.025	16	0.640	1.011
0.783	0.050	17	0.680	1.036
0.833	0.050	18	0.720	1.086
0.883	0.025	19	0.760	1.136
0.908	0.050	20	0.800	1.161
0.958	0.025	21	0.840	1.211
0.983	0.050	22	0.880	1.236
1.033	0.050	23	0.920	1.294
1.083	0.025	24	0.960	1.344
1.108	0.050	25	1.000	1.369
1.158	0.025	26	1.040	1.419
1.183	0.050	27	1.080	1.444
1.233	0.050	28	1.120	1.494
1.283	0.025	29	1.160	1.544
1.308	0.050	30	1.200	1.569
1.358	0.025	31	1.240	1.627
1.383	0.050	32	1.280	1.652
1.433	0.050	33	1.320	1.702
1.483	0.025	34	1.360	1.752
1.508	0.050	35	1.400	1.777
1.559	0.025	36	1.440	1.827
1.583	0.050	37	1.480	1.852
1.633	0.050	38	1.520	1.902
1.684	0.025	39	1.560	1.873
1.708	0.050	40	1.600	1.898
1.758	0.025	41	1.640	1.948
1.784	0.050	42	1.680	1.973
1.833	0.050	43	1.720	2.023
1.883	0.025	44	1.760	2.073
1.909	0.050	45	1.800	2.098
1.959	0.025	46	1.840	2.148
1.984	0.050	47	1.880	2.173
2.034	0.050	48	1.920	2.223
2.084	0.025	49	1.960	2.273
2.109	0.050	50	2.000	2.298
2.159	0.025	51	2.040	2.348
2.184	0.050	52	2.080	2.373
2.234	0.050	53	2.120	2.423
2.284	0.025	54	2.160	2.536
2.309	0.050	55	2.200	2.561
2.359	0.025	56	2.240	2.611
2.384	0.050	57	2.280	2.636
2.434	0.050	58	2.320	2.686
2.484	0.025	59	2.360	2.736
2.509	0.050	60	2.400	2.761
2.559	0.025	61	2.440	2.811
2.584	0.050	62	2.480	2.844
2.634	0.050	63	2.520	2.894
2.684	0.025	64	2.560	2.944
2.709	0.050	65	2.600	2.969
2.759	0.025	66	2.640	3.019
2.784	0.050	67	2.680	3.044
2.834	0.050	68	2.720	3.094
2.884	0.025	69	2.760	3.144
2.909	0.050	70	2.800	3.177
2.959	0.025	71	2.840	3.227
2.984	0.050	72	2.880	3.252
3.034	0.050	73	2.920	3.302
3.084	0.025	74	2.960	3.352
3.109	0.050	75	3.000	3.377
3.159	0.025	76	3.040	3.427
3.184	0.050	77	3.080	3.452
3.234	0.050	78	3.120	3.423
3.284	0.025	79	3.160	3.473
3.309	0.050	80	3.200	3.498
3.359	0.025	81	3.240	3.548
3.384	0.050	82	3.280	3.574
3.434	0.050	83	3.320	3.624
3.484	0.025	84	3.360	3.674
3.509	0.050	85	3.400	3.699
3.559	0.025	86	3.440	3.749
3.584	0.050	87	3.480	3.774
3.634	0.050	88	3.520	3.824
3.684	0.025	89	3.560	3.874
3.709	0.050	90	3.600	3.899
3.759	0.025	91	3.640	3.949
3.784	0.050	92	3.680	3.974
3.834	0.050	93	3.720	4.087
3.884	0.025	94	3.760	4.137
3.909	0.050	95	3.800	4.162
3.959	0.025	96	3.840	4.212
3.984	0.050	97	3.880	4.237
4.034	0.050	98	3.920	4.287
4.084	0.025	99	3.960	4.337
4.109	0.050	100	4.000	4.362
4.159	0.025	101	4.040	4.420
4.184	0.050	102	4.080	4.445
4.234	0.050	103	4.120	4.495
4.284	0.025	104	4.160	4.545
4.309	0.050	105	4.200	4.570
4.359	0.025	106	4.240	4.620
4.384	0.050	107	4.280	4.645
4.434	0.050	108	4.320	4.695
4.484	0.025	109	4.360	4.753
4.509	0.050	110	4.400	4.778
4.559	0.025	111	4.440	4.828
4.584	0.050	112	4.480	4.853
4.634	0.050	113	4.520	4.903
4.684	0.025	114	4.560	4.953
4.709	0.050	115	4.600	4.978
4.759	0.025	116	4.640	5.028
4.784	0.050	117	4.680	4.974
4.834	0.050	118	4.720	5.024
4.884	0.025	119	4.760	5.074
4.909	0.050	120	4.800	5.099
4.959	0.025	121	4.840	5.149
4.984	0.050	122	4.880	5.174
5.034	0.050	123	4.920	5.224
5.084	0.025	124	4.960	5.274
5.109	0.050	125	5.000	5.299
5.159	0.025	126	5.040	5.349
5.184	0.050	127	5.080	5.374
5.234	0.050	128	5.120	5.424
5.284	0.025	129	5.160	5.474
5.309	0.050	130	5.200	5.499
5.359	0.025	131	5.240	5.549
5.384	0.050	132	5.280	5.574
5.434	0.050	133	5.320	5.687
5.484	0.025	134	5.360	5.737
5.509	0.050	135	5.400	5.762
5.559	0.025	136	5.440	5.812
5.584	0.050	137	5.480	5.837
5.634	0.050	138	5.520	5.887
5.684	0.025	139	5.560	5.937
5.709	0.050	140	5.600	5.970
5.759	0.025	141	5.640	6.020
5.784	0.050	142	5.680	6.045
5.834	0.050	143	5.720	6.095
5.884	0.025	144	5.760	6.145
5.909	0.050	145	5.800	6.170
5.959	0.025	146	5.840	6.220
5.984	0.050	147	5.880	6.245
6.034	0.050	148	5.920	6.343
6.084	0.025	149	5.960	6.393
6.109	0.050	150	6.000	6.418
6.159	0.025	151	6.040	6.468
6.184	0.050	152	6.080	6.493
6.234	0.050	153	6.120	6.543
6.284	0.025	154	6.160	6.593
6.309	0.050	155	6.200	6.618
6.359	0.025	156	6.240	6.549
6.384	0.050	157	6.280	6.574
6.434	0.050	158	6.320	6.624
6.485	0.025	159	6.360	6.674
6.509	0.050	160	6.400	6.699
6.559	0.025	161	6.440	6.749
6.584	0.050	162	6.480	6.774
6.634	0.050	163	6.520	6.824
6.684	0.025	164	6.560	6.874
6.709	0.050	165	6.600	6.899
6.759	0.025	166	6.640	6.949
6.784	0.050	167	6.680	6.974
6.834	0.050	168	6.720	7.024
6.884	0.025	169	6.760	7.074
6.910	0.050	170	6.800	7.099
6.960	0.025	171	6.840	7.252
6.985	0.050	172	6.880	7.277
7.035	0.050	173	6.920	7.327
7.085	0.025	174	6.960	7.377
7.110	0.050	175	7.000	7.402
7.160	0.025	176	7.040	7.452
7.185	0.050	177	7.080	7.477
7.235	0.050	178	7.120	7.527
7.285	0.025	179	7.160	7.545
7.310	0.050	180	7.200	7.570
7.360	0.025	181	7.240	7.620
7.385	0.050	182	7.280	7.645
7.435	0.050	183	7.320	7.695
7.485	0.025	184	7.360	7.745
7.510	0.050	185	7.400	7.771
7.560	0.025	186	7.440	7.820
7.585	0.050	187	7.480	7.813
7.635	0.050	188	7.520	7.863
7.685	0.025	189	7.560	7.913
7.710	0.050	190	7.600	7.938
7.760	0.025	191	7.640	7.988
7.785	0.050	192	7.680	8.013
7.835	0.050	193	7.720	8.063
7.885	0.025	194	7.760	8.074
7.910	0.050	195	7.800	8.099
7.960	0.025	196	7.840	8.149
7.985	0.050	197	7.880	8.174
8.035	0.050	198	7.920	8.224
8.085	0.025	199	7.960	8.274
8.110	0.050	200	8.000	8.299
8.160	0.025	201	8.040	8.349
8.185	0.050	202	8.080	8.375
8.235	0.050	203	8.120	8.424
8.285	0.025	204	8.160	8.474
8.310	0.050	205	8.200	8.500
8.360	0.025	206	8.240	8.550
8.385	0.050	207	8.280	8.575
8.435	0.050	208	8.320	8.625
8.485	0.025	209	8.360	8.675
8.510	0.050	210	8.400	8.763
8.560	0.025	211	8.440	8.813
8.585	0.050	212	8.480	8.838
8.635	0.050	213	8.520	8.888
8.685	0.025	214	8.560	8.938
8.710	0.050	215	8.600	8.963
8.760	0.025	216	8.640	9.013
8.785	0.050	217	8.680	9.038
8.835	0.050	218	8.720	9.136
8.885	0.025	219	8.760	9.186
8.910	0.050	220	8.800	9.211
8.960	0.025	221	8.840	9.261
8.985	0.050	222	8.880	9.286
9.035	0.050	223	8.920	9.336
9.085	0.025	224	8.960	9.386
9.110	0.050	225	9.000	9.411
9.160	0.025	226	9.040	9.469
9.185	0.050	227	9.080	9.494
9.235	0.050	228	9.120	9.544
9.285	0.025	229	9.160	9.594
9.310	0.050	230	9.200	9.619
9.360	0.025	231	9.240	9.669
9.385	0.050	232	9.280	9.694
9.435	0.050	233	9.320	9.744
9.485	0.025	234	9.360	9.675
9.510	0.050	235	9.400	9.700
9.560	0.025	236	9.440	9.750
9.585	0.050	237	9.480	9.775
9.635	0.050	238	9.520	9.825
