onset	duration	lh_orientation	rh_orientation
0.1233	3.000	90	45
8.2364	3.000	90	none
16.1841	3.000	135	90
24.1315	3.000	45	90
32.2288	3.000	45	none
40.2594	3.000	0	135
48.1734	3.000	90	0
56.1875	3.000	135	135
64.2341	3.000	135	none
72.1653	3.000	0	45
80.1628	3.000	45	135
88.2762	3.000	none	135
96.1248	3.000	45	45
104.1881	3.000	0	0
112.2514	3.000	none	0
120.2156	3.000	0	0
128.2133	3.000	135	135
136.2600	3.000	135	none
144.1578	3.000	90	90
152.1550	3.000	135	45
160.2854	3.000	none	45
168.2166	3.000	90	45
176.1472	3.000	45	90
184.2277	3.000	45	none
192.1751	3.000	90	135
200.1558	3.000	45	0
208.2696	3.000	none	0
216.1999	3.000	135	0
224.1808	3.000	0	90
232.2446	3.000	none	90
