onset	duration	lh_orientation	rh_orientation
0.1599	3.000	90	135
8.2565	3.000	none	135
16.1537	3.000	45	0
24.1514	3.000	90	0
32.2145	3.000	90	none
40.2122	3.000	135	0
48.1603	3.000	45	135
56.1242	3.000	45	90
64.2207	3.000	45	none
72.2019	3.000	135	135
80.1493	3.000	0	45
88.2633	3.000	0	none
96.2102	3.000	135	135
104.1580	3.000	0	90
112.2376	3.000	none	90
120.1520	3.000	135	45
128.1497	3.000	90	135
136.2627	3.000	none	135
144.1436	3.000	45	90
152.1750	3.000	135	90
160.2560	3.000	135	none
168.1690	3.000	0	0
176.1668	3.000	0	0
184.2635	3.000	0	none
192.1443	3.000	0	45
200.1255	3.000	45	45
208.2219	3.000	none	45
216.1193	3.000	90	45
224.1340	3.000	90	90
232.2306	3.000	none	90
