onset	duration	lh_orientation	rh_orientation
0.3060	3.000	0	0
7.9367	3.000	none	0
15.8173	3.000	90	45
23.8812	3.000	135	90
31.9120	3.000	none	90
39.8757	3.000	90	135
47.8730	3.000	0	90
55.9040	3.000	0	none
63.9008	3.000	90	0
71.8982	3.000	0	90
79.9119	3.000	0	none
87.8925	3.000	90	0
95.8566	3.000	0	45
103.9038	3.000	0	none
111.9177	3.000	0	0
119.8148	3.000	45	45
127.8622	3.000	none	45
135.8595	3.000	135	45
143.8901	3.000	45	135
151.9371	3.000	135	135
159.9012	3.000	none	135
167.8983	3.000	90	135
175.9290	3.000	135	135
183.9096	3.000	135	none
191.8569	3.000	45	0
199.8375	3.000	45	90
207.8514	3.000	45	none
215.8485	3.000	135	45
223.8124	3.000	45	90
231.8596	3.000	none	90
