onset	duration	lh_orientation	rh_orientation
0.2532	3.000	0	45
8.2842	3.000	0	none
16.2477	3.000	90	135
24.2785	3.000	0	90
32.3090	3.000	0	none
40.2896	3.000	90	0
48.3369	3.000	0	135
56.2839	3.000	none	135
64.2147	3.000	90	90
72.2453	3.000	45	0
80.2257	3.000	90	90
88.2898	3.000	none	90
96.2037	3.000	45	45
104.2341	3.000	90	90
112.2647	3.000	none	90
120.2288	3.000	135	45
128.2427	3.000	135	45
136.2897	3.000	135	none
144.3038	3.000	0	135
152.2511	3.000	45	0
160.2315	3.000	45	none
168.3289	3.000	135	0
176.2426	3.000	0	90
184.3233	3.000	0	none
192.1871	3.000	45	45
200.3177	3.000	135	135
208.2818	3.000	135	none
216.2788	3.000	135	135
224.2429	3.000	45	0
232.2402	3.000	45	none
