onset	duration	lh_orientation	rh_orientation
0.1605	3.000	90	135
8.2906	3.000	none	135
16.2218	3.000	0	135
24.1361	3.000	90	45
32.2659	3.000	none	45
40.1969	3.000	135	45
48.1779	3.000	45	135
56.2749	3.000	none	135
64.2557	3.000	135	0
72.2027	3.000	135	0
80.2835	3.000	135	none
88.2145	3.000	90	0
96.1449	3.000	45	45
104.2755	3.000	45	none
112.2228	3.000	0	90
120.1701	3.000	90	90
128.2670	3.000	90	none
136.2487	3.000	135	0
144.2122	3.000	0	135
152.1429	3.000	45	90
160.2562	3.000	45	none
168.2040	3.000	90	135
176.1515	3.000	45	90
184.2649	3.000	45	none
192.2459	3.000	0	0
200.1438	3.000	45	45
208.2569	3.000	none	45
216.2547	3.000	135	90
224.1687	3.000	0	45
232.2492	3.000	none	45
