onset	duration	lh_orientation	rh_orientation
0.1174	3.000	90	45
8.2467	3.000	none	45
16.1949	3.000	135	90
24.1758	3.000	135	45
32.2387	3.000	none	45
40.2202	3.000	135	0
48.1845	3.000	0	135
56.2808	3.000	none	135
64.1788	3.000	45	135
72.1426	3.000	45	90
80.2396	3.000	none	90
88.1707	3.000	0	45
96.1675	3.000	90	0
104.2983	3.000	none	0
112.1786	3.000	90	0
120.1930	3.000	135	0
128.2737	3.000	135	none
136.1709	3.000	90	90
144.1852	3.000	135	135
152.2818	3.000	135	none
160.1462	3.000	90	90
168.1609	3.000	45	135
176.2404	3.000	45	none
184.1215	3.000	45	45
192.1521	3.000	0	90
200.1994	3.000	0	135
208.2963	3.000	none	135
216.1941	3.000	45	0
224.1914	3.000	0	45
232.2552	3.000	none	45
