onset	duration	frameidx	videotime	audiotime
0.033	0.042	1	0.040	2.561
0.075	0.025	2	0.080	2.609
0.100	0.050	3	0.120	2.625
0.150	0.150	4	0.160	2.675
0.300	0.050	5	0.200	0.150
0.350	0.050	6	0.240	0.200
0.400	0.025	7	0.280	0.250
0.425	0.050	8	0.320	0.275
0.475	0.050	9	0.360	0.325
0.525	0.025	10	0.400	0.375
0.550	0.050	11	0.440	0.400
0.600	0.025	12	0.480	0.450
0.625	0.050	13	0.520	0.475
0.675	0.050	14	0.560	0.525
0.725	0.025	15	0.600	0.976
0.750	0.050	16	0.640	1.001
0.800	0.025	17	0.680	1.051
0.825	0.050	18	0.720	1.076
0.875	0.050	19	0.760	1.126
0.925	0.025	20	0.800	1.176
0.950	0.050	21	0.840	1.202
1.000	0.025	22	0.880	1.252
1.025	0.050	23	0.920	1.245
1.075	0.050	24	0.960	1.295
1.125	0.025	25	1.000	1.345
1.150	0.050	26	1.040	1.370
1.200	0.025	27	1.080	1.420
1.225	0.050	28	1.120	1.445
1.275	0.050	29	1.160	1.495
1.325	0.025	30	1.200	1.545
1.350	0.050	31	1.240	1.538
1.400	0.025	32	1.280	1.588
1.425	0.050	33	1.320	1.613
1.475	0.050	34	1.360	1.663
1.525	0.025	35	1.400	1.713
1.550	0.050	36	1.440	1.738
1.600	0.025	37	1.480	1.788
1.625	0.050	38	1.520	1.813
1.675	0.050	39	1.560	1.864
1.725	0.025	40	1.600	1.914
1.750	0.050	41	1.640	1.939
1.800	0.025	42	1.680	1.989
1.825	0.050	43	1.720	2.014
1.875	0.050	44	1.760	2.064
1.925	0.025	45	1.800	2.114
1.950	0.050	46	1.840	2.139
2.000	0.025	47	1.880	2.189
2.025	0.050	48	1.920	2.214
2.075	0.050	49	1.960	2.264
2.125	0.025	50	2.000	2.314
2.150	0.050	51	2.040	2.339
2.200	0.025	52	2.080	2.389
2.225	0.050	53	2.120	2.414
2.275	0.050	54	2.160	2.607
2.325	0.025	55	2.200	2.657
2.350	0.050	56	2.240	2.682
2.400	0.025	57	2.280	2.732
2.425	0.050	58	2.320	2.757
2.475	0.050	59	2.360	2.807
2.525	0.025	60	2.400	2.857
2.550	0.050	61	2.440	2.882
2.600	0.025	62	2.480	2.900
2.625	0.050	63	2.520	2.925
2.675	0.050	64	2.560	2.975
2.725	0.025	65	2.600	3.025
2.750	0.050	66	2.640	3.050
2.800	0.025	67	2.680	3.100
2.825	0.050	68	2.720	3.125
2.875	0.050	69	2.760	3.175
2.925	0.025	70	2.800	3.195
2.950	0.050	71	2.840	3.220
3.000	0.025	72	2.880	3.270
3.025	0.050	73	2.920	3.295
3.075	0.050	74	2.960	3.345
3.125	0.025	75	3.000	3.395
3.150	0.050	76	3.040	3.420
3.200	0.025	77	3.080	3.470
3.225	0.050	78	3.120	3.414
3.275	0.050	79	3.160	3.464
3.325	0.025	80	3.200	3.514
3.350	0.050	81	3.240	3.539
3.400	0.025	82	3.280	3.589
3.425	0.050	83	3.320	3.614
3.475	0.050	84	3.360	3.664
3.525	0.025	85	3.400	3.714
3.550	0.050	86	3.440	3.739
3.600	0.025	87	3.480	3.789
3.626	0.050	88	3.520	3.814
3.675	0.050	89	3.560	3.864
3.725	0.025	90	3.600	3.914
3.751	0.050	91	3.640	3.939
3.801	0.025	92	3.680	3.989
3.826	0.050	93	3.720	4.014
3.876	0.050	94	3.760	4.087
3.926	0.025	95	3.800	4.137
3.951	0.050	96	3.840	4.162
4.001	0.025	97	3.880	4.212
4.026	0.050	98	3.920	4.237
4.076	0.050	99	3.960	4.287
4.126	0.025	100	4.000	4.337
4.151	0.050	101	4.040	4.330
4.201	0.025	102	4.080	4.380
4.226	0.050	103	4.120	4.405
4.276	0.050	104	4.160	4.455
4.326	0.025	105	4.200	4.505
4.351	0.050	106	4.240	4.530
4.401	0.025	107	4.280	4.580
4.426	0.050	108	4.320	4.605
4.476	0.050	109	4.360	4.823
4.526	0.025	110	4.400	4.873
4.551	0.050	111	4.440	4.898
4.601	0.025	112	4.480	4.948
4.626	0.050	113	4.520	4.973
4.676	0.050	114	4.560	5.023
4.726	0.025	115	4.600	5.073
4.751	0.050	116	4.640	5.098
4.801	0.025	117	4.680	4.989
4.826	0.050	118	4.720	5.014
4.876	0.050	119	4.760	5.064
4.926	0.025	120	4.800	5.114
4.951	0.050	121	4.840	5.139
5.001	0.025	122	4.880	5.189
5.026	0.050	123	4.920	5.214
5.076	0.050	124	4.960	5.264
5.126	0.025	125	5.000	5.314
5.151	0.050	126	5.040	5.339
5.201	0.025	127	5.080	5.389
5.226	0.050	128	5.120	5.414
5.276	0.050	129	5.160	5.464
5.326	0.025	130	5.200	5.514
5.351	0.050	131	5.240	5.539
5.401	0.025	132	5.280	5.772
5.426	0.050	133	5.320	5.797
5.476	0.050	134	5.360	5.847
5.526	0.025	135	5.400	5.897
5.551	0.050	136	5.440	5.922
5.601	0.025	137	5.480	5.972
5.626	0.050	138	5.520	5.997
5.676	0.050	139	5.560	6.047
5.726	0.025	140	5.600	6.035
5.751	0.050	141	5.640	6.060
5.801	0.025	142	5.680	6.110
5.826	0.050	143	5.720	6.135
5.876	0.050	144	5.760	6.185
5.926	0.025	145	5.800	6.236
5.951	0.050	146	5.840	6.261
6.001	0.025	147	5.880	6.311
6.026	0.050	148	5.920	6.254
6.076	0.050	149	5.960	6.304
6.126	0.025	150	6.000	6.354
6.151	0.050	151	6.040	6.379
6.201	0.025	152	6.080	6.429
6.226	0.050	153	6.120	6.454
6.276	0.050	154	6.160	6.504
6.326	0.025	155	6.200	6.515
6.351	0.050	156	6.240	6.540
6.401	0.025	157	6.280	6.590
6.426	0.050	158	6.320	6.615
6.476	0.050	159	6.360	6.665
6.526	0.025	160	6.400	6.715
6.551	0.050	161	6.440	6.740
6.601	0.025	162	6.480	6.790
6.626	0.050	163	6.520	6.815
6.676	0.050	164	6.560	6.865
6.726	0.025	165	6.600	6.915
6.751	0.050	166	6.640	6.940
6.801	0.025	167	6.680	6.990
6.826	0.050	168	6.720	7.015
6.876	0.050	169	6.760	7.065
6.926	0.025	170	6.800	7.115
6.951	0.050	171	6.840	7.123
7.001	0.025	172	6.880	7.173
7.026	0.050	173	6.920	7.198
7.076	0.050	174	6.960	7.248
7.126	0.025	175	7.000	7.298
7.151	0.050	176	7.040	7.323
7.201	0.025	177	7.080	7.373
7.226	0.050	178	7.120	7.398
7.276	0.050	179	7.160	7.496
7.326	0.025	180	7.200	7.546
