onset	duration	lh_orientation	rh_orientation
0.1711	3.000	0	135
8.2515	3.000	none	135
16.0995	3.000	45	45
24.1969	3.000	135	0
32.2766	3.000	none	0
40.1409	3.000	45	0
48.1222	3.000	45	90
56.2351	3.000	none	90
64.1669	3.000	0	90
72.1642	3.000	90	135
80.2111	3.000	90	none
88.2080	3.000	135	135
96.1558	3.000	135	90
104.2191	3.000	135	none
112.1832	3.000	0	0
120.1139	3.000	90	45
128.1618	3.000	45	135
136.2581	3.000	none	135
144.1223	3.000	90	45
152.1871	3.000	135	0
160.2513	3.000	135	none
168.1309	3.000	90	90
176.1956	3.000	0	135
184.2591	3.000	none	135
192.1559	3.000	90	0
200.1051	3.000	45	45
208.2004	3.000	45	none
216.1314	3.000	0	45
224.1622	3.000	135	90
232.2260	3.000	none	90
