onset	duration	frameidx	videotime	audiotime	lasttrigger
0.057	0.375	1	0.040	0.000	0.000
0.432	0.025	2	0.080	0.000	0.000
0.457	0.025	3	0.120	0.000	0.000
0.482	0.021	4	0.160	0.000	0.000
0.503	0.026	5	0.200	0.000	0.000
0.530	0.026	6	0.240	0.000	0.000
0.556	0.025	7	0.280	0.000	0.000
0.581	0.026	8	0.320	0.000	0.000
0.607	0.020	9	0.360	0.000	0.000
0.627	0.019	10	0.400	0.000	0.000
0.646	0.020	11	0.440	0.000	0.000
0.666	0.019	12	0.480	0.000	0.000
0.685	0.019	13	0.520	0.000	0.000
0.704	0.019	14	0.560	0.000	0.000
0.722	0.020	15	0.600	0.000	0.000
0.742	0.019	16	0.640	0.000	0.000
0.761	0.019	17	0.680	0.000	0.000
0.780	0.025	18	0.720	0.000	0.000
0.805	0.019	19	0.760	0.000	0.000
0.824	0.009	20	0.800	0.000	0.000
0.833	0.016	21	0.840	0.000	0.000
0.849	0.050	22	0.880	0.000	0.000
0.899	0.053	23	0.920	0.000	0.000
0.952	0.032	24	0.960	0.000	0.000
0.984	0.032	25	1.000	0.000	0.000
1.016	0.052	26	1.040	0.000	0.000
1.068	0.032	27	1.080	0.000	0.000
1.099	0.051	28	1.120	0.000	0.000
1.151	0.035	29	1.160	0.912	0.000
1.185	0.031	30	1.200	0.945	0.000
1.216	0.053	31	1.240	0.978	0.000
1.269	0.031	32	1.280	1.028	0.000
1.299	0.053	33	1.320	1.062	0.000
1.352	0.032	34	1.360	1.112	0.000
1.384	0.032	35	1.400	1.145	0.000
1.416	0.052	36	1.440	1.178	0.000
1.467	0.032	37	1.480	1.228	0.000
1.499	0.051	38	1.520	1.262	0.000
1.550	0.035	39	1.560	1.311	0.000
1.585	0.031	40	1.600	1.345	0.000
1.616	0.053	41	1.640	1.378	0.000
1.668	0.030	42	1.680	1.428	0.000
1.699	0.053	43	1.720	1.461	0.000
1.752	0.032	44	1.760	1.534	0.000
1.784	0.032	45	1.800	1.568	0.000
1.816	0.052	46	1.840	1.601	0.000
1.867	0.032	47	1.880	1.651	0.000
1.899	0.051	48	1.920	1.684	0.000
1.950	0.035	49	1.960	1.734	0.000
1.985	0.030	50	2.000	1.768	1.999
2.015	0.053	51	2.040	1.801	1.999
2.069	0.030	52	2.080	1.859	1.999
2.099	0.053	53	2.120	1.892	1.999
2.151	0.032	54	2.160	1.942	1.999
2.184	0.032	55	2.200	1.975	1.999
2.216	0.051	56	2.240	2.009	1.999
2.267	0.036	57	2.280	2.059	1.999
2.303	0.029	58	2.320	2.093	1.999
2.332	0.052	59	2.360	2.125	1.999
2.384	0.031	60	2.400	2.184	1.999
2.415	0.053	61	2.440	2.217	1.999
2.468	0.030	62	2.480	2.267	1.999
2.499	0.053	63	2.520	2.300	1.999
2.552	0.032	64	2.560	2.350	1.999
2.583	0.032	65	2.600	2.383	1.999
2.615	0.052	66	2.640	2.417	1.999
2.667	0.032	67	2.680	2.467	1.999
2.699	0.052	68	2.720	2.461	1.999
2.750	0.035	69	2.760	2.511	1.999
2.785	0.030	70	2.800	2.545	1.999
2.815	0.053	71	2.840	2.578	1.999
2.868	0.030	72	2.880	2.628	1.999
2.899	0.053	73	2.920	2.661	1.999
2.952	0.036	74	2.960	2.711	1.999
2.988	0.028	75	3.000	2.744	1.999
3.015	0.051	76	3.040	2.778	1.999
3.067	0.032	77	3.080	2.828	1.999
3.099	0.051	78	3.120	2.861	1.999
3.150	0.035	79	3.160	2.911	1.999
3.185	0.030	80	3.200	2.944	1.999
3.215	0.053	81	3.240	2.978	1.999
3.268	0.030	82	3.280	3.028	1.999
3.298	0.053	83	3.320	3.164	1.999
3.352	0.032	84	3.360	3.214	1.999
3.383	0.032	85	3.400	3.247	1.999
3.415	0.051	86	3.440	3.281	1.999
3.466	0.032	87	3.480	3.330	1.999
3.498	0.052	88	3.520	3.364	1.999
3.550	0.035	89	3.560	3.414	1.999
3.585	0.030	90	3.600	3.447	1.999
3.615	0.053	91	3.640	3.489	1.999
3.668	0.030	92	3.680	3.538	1.999
3.698	0.053	93	3.720	3.571	1.999
3.751	0.032	94	3.760	3.622	1.999
3.783	0.032	95	3.800	3.655	1.999
3.815	0.052	96	3.840	3.688	1.999
3.867	0.032	97	3.880	3.739	1.999
3.898	0.053	98	3.920	3.772	1.999
3.951	0.034	99	3.960	3.830	1.999
3.985	0.030	100	4.000	3.863	3.999
4.015	0.053	101	4.040	3.896	3.999
4.068	0.031	102	4.080	3.946	3.999
4.098	0.053	103	4.120	3.980	3.999
4.151	0.032	104	4.160	4.030	3.999
4.183	0.032	105	4.200	4.063	3.999
4.215	0.052	106	4.240	4.096	3.999
4.267	0.032	107	4.280	4.028	3.999
4.298	0.051	108	4.320	4.061	3.999
4.350	0.035	109	4.360	4.110	3.999
4.385	0.030	110	4.400	4.144	3.999
4.415	0.052	111	4.440	4.177	3.999
4.467	0.031	112	4.480	4.227	3.999
4.498	0.052	113	4.520	4.260	3.999
4.550	0.033	114	4.560	4.311	3.999
4.583	0.032	115	4.600	4.344	3.999
4.615	0.051	116	4.640	4.377	3.999
4.666	0.032	117	4.680	4.427	3.999
4.698	0.051	118	4.720	4.461	3.999
4.749	0.035	119	4.760	4.510	3.999
4.784	0.031	120	4.800	4.544	3.999
4.815	0.054	121	4.840	4.577	3.999
4.869	0.029	122	4.880	4.650	3.999
4.898	0.053	123	4.920	4.683	3.999
4.950	0.032	124	4.960	4.733	3.999
4.983	0.032	125	5.000	4.767	3.999
5.015	0.051	126	5.040	4.800	3.999
5.066	0.032	127	5.080	4.850	3.999
5.098	0.052	128	5.120	4.883	3.999
5.149	0.034	129	5.160	4.933	3.999
5.183	0.031	130	5.200	4.975	3.999
5.215	0.052	131	5.240	5.008	3.999
5.267	0.031	132	5.280	5.058	3.999
5.298	0.052	133	5.320	5.091	3.999
5.350	0.033	134	5.360	5.141	3.999
5.383	0.032	135	5.400	5.175	3.999
5.414	0.051	136	5.440	5.208	3.999
5.466	0.032	137	5.480	5.258	3.999
5.498	0.051	138	5.520	5.299	3.999
5.549	0.035	139	5.560	5.349	3.999
5.584	0.030	140	5.600	5.383	3.999
5.614	0.052	141	5.640	5.416	3.999
5.666	0.031	142	5.680	5.466	3.999
5.698	0.053	143	5.720	5.499	3.999
5.751	0.032	144	5.760	5.549	3.999
5.783	0.031	145	5.800	5.582	3.999
5.814	0.051	146	5.840	5.577	3.999
5.865	0.032	147	5.880	5.627	3.999
5.898	0.051	148	5.920	5.660	3.999
5.949	0.033	149	5.960	5.710	3.999
5.982	0.032	150	6.000	5.743	5.998
6.014	0.052	151	6.040	5.777	5.998
6.066	0.032	152	6.080	5.827	5.998
6.098	0.051	153	6.120	5.860	5.998
6.149	0.033	154	6.160	5.910	5.998
6.182	0.032	155	6.200	5.943	5.998
6.214	0.051	156	6.240	5.977	5.998
6.265	0.032	157	6.280	6.026	5.998
6.297	0.051	158	6.320	6.060	5.998
6.349	0.033	159	6.360	6.110	5.998
6.382	0.032	160	6.400	6.143	5.998
6.414	0.052	161	6.440	6.176	5.998
6.466	0.031	162	6.480	6.329	5.998
6.497	0.052	163	6.520	6.363	5.998
6.549	0.033	164	6.560	6.413	5.998
6.582	0.032	165	6.600	6.446	5.998
6.614	0.052	166	6.640	6.480	5.998
6.666	0.032	167	6.680	6.529	5.998
6.697	0.051	168	6.720	6.563	5.998
6.749	0.033	169	6.760	6.621	5.998
6.782	0.032	170	6.800	6.654	5.998
6.814	0.054	171	6.840	6.687	5.998
6.868	0.029	172	6.880	6.738	5.998
6.897	0.052	173	6.920	6.771	5.998
6.949	0.033	174	6.960	6.821	5.998
6.982	0.032	175	7.000	6.854	5.998
7.014	0.052	176	7.040	6.887	5.998
7.066	0.031	177	7.080	6.946	5.998
7.097	0.052	178	7.120	6.979	5.998
7.149	0.033	179	7.160	7.029	5.998
7.182	0.032	180	7.200	7.062	5.998
7.214	0.052	181	7.240	7.095	5.998
7.265	0.032	182	7.280	7.146	5.998
7.297	0.052	183	7.320	7.179	5.998
7.349	0.033	184	7.360	7.229	5.998
7.382	0.032	185	7.400	7.142	5.998
7.414	0.051	186	7.440	7.176	5.998
7.465	0.032	187	7.480	7.226	5.998
7.497	0.052	188	7.520	7.259	5.998
7.550	0.034	189	7.560	7.310	5.998
7.583	0.031	190	7.600	7.343	5.998
7.614	0.056	191	7.640	7.376	5.998
7.669	0.028	192	7.680	7.426	5.998
7.697	0.052	193	7.720	7.460	5.998
7.749	0.033	194	7.760	7.510	5.998
7.782	0.032	195	7.800	7.543	5.998
7.814	0.052	196	7.840	7.576	5.998
7.865	0.032	197	7.880	7.626	5.998
7.897	0.051	198	7.920	7.659	5.998
7.948	0.035	199	7.960	7.709	5.998
7.983	0.031	200	8.000	7.766	7.997
8.014	0.051	201	8.040	7.799	7.997
8.065	0.032	202	8.080	7.849	7.997
8.097	0.052	203	8.120	7.882	7.997
8.149	0.033	204	8.160	7.933	7.997
8.182	0.032	205	8.200	7.966	7.997
8.213	0.051	206	8.240	7.999	7.997
8.265	0.032	207	8.280	8.049	7.997
8.297	0.052	208	8.320	8.090	7.997
8.349	0.034	209	8.360	8.140	7.997
8.382	0.031	210	8.400	8.174	7.997
8.413	0.052	211	8.440	8.207	7.997
8.466	0.031	212	8.480	8.257	7.997
