onset	duration	frameidx	videotime	audiotime	lasttrigger
0.046	0.037	1	0.040	0.000	0.000
0.083	0.020	2	0.080	0.000	0.000
0.103	0.030	3	0.120	0.000	0.000
0.133	0.055	4	0.160	0.000	0.000
0.189	0.030	5	0.200	0.000	0.000
0.219	0.031	6	0.240	0.000	0.000
0.250	0.055	7	0.280	0.000	0.000
0.305	0.028	8	0.320	0.000	0.000
0.333	0.067	9	0.360	0.000	0.000
0.400	0.033	10	0.400	0.000	0.000
0.433	0.016	11	0.440	0.000	0.000
0.450	0.052	12	0.480	0.000	0.000
0.501	0.032	13	0.520	0.000	0.000
0.533	0.051	14	0.560	0.000	0.000
0.584	0.034	15	0.600	0.000	0.000
0.618	0.032	16	0.640	0.000	0.000
0.649	0.052	17	0.680	0.000	0.000
0.701	0.032	18	0.720	0.000	0.000
0.733	0.052	19	0.760	0.000	0.000
0.785	0.033	20	0.800	0.000	0.000
0.818	0.032	21	0.840	0.905	0.000
0.849	0.051	22	0.880	0.939	0.000
0.901	0.032	23	0.920	0.988	0.000
0.933	0.051	24	0.960	1.022	0.000
0.984	0.034	25	1.000	1.072	0.000
1.018	0.032	26	1.040	1.105	0.000
1.049	0.053	27	1.080	1.138	0.000
1.103	0.030	28	1.120	1.188	0.000
1.133	0.052	29	1.160	1.222	0.000
1.184	0.034	30	1.200	1.272	0.000
1.218	0.031	31	1.240	1.305	0.000
1.249	0.051	32	1.280	1.338	0.000
1.301	0.032	33	1.320	1.388	0.000
1.333	0.051	34	1.360	1.422	0.000
1.384	0.034	35	1.400	1.472	0.000
1.418	0.032	36	1.440	1.568	0.000
1.449	0.051	37	1.480	1.601	0.000
1.501	0.032	38	1.520	1.651	0.000
1.533	0.052	39	1.560	1.685	0.000
1.584	0.033	40	1.600	1.734	0.000
1.617	0.032	41	1.640	1.768	0.000
1.649	0.052	42	1.680	1.801	0.000
1.701	0.032	43	1.720	1.851	0.000
1.733	0.051	44	1.760	1.892	0.000
1.784	0.034	45	1.800	1.942	0.000
1.818	0.031	46	1.840	1.976	0.000
1.849	0.051	47	1.880	2.009	0.000
1.901	0.032	48	1.920	2.059	0.000
1.932	0.052	49	1.960	2.092	0.000
1.985	0.033	50	2.000	2.143	2.000
2.018	0.031	51	2.040	2.176	2.000
2.049	0.051	52	2.080	2.217	2.000
2.101	0.032	53	2.120	2.267	2.000
2.132	0.051	54	2.160	2.300	2.000
2.184	0.033	55	2.200	2.350	2.000
2.217	0.032	56	2.240	2.383	2.000
2.249	0.051	57	2.280	2.417	2.000
2.300	0.032	58	2.320	2.467	2.000
2.332	0.052	59	2.360	2.500	2.000
2.384	0.033	60	2.400	2.471	2.000
2.417	0.032	61	2.440	2.505	2.000
2.449	0.051	62	2.480	2.538	2.000
2.500	0.032	63	2.520	2.588	2.000
2.532	0.051	64	2.560	2.621	2.000
2.584	0.034	65	2.600	2.671	2.000
2.617	0.032	66	2.640	2.704	2.000
2.649	0.052	67	2.680	2.738	2.000
2.701	0.031	68	2.720	2.788	2.000
2.732	0.051	69	2.760	2.821	2.000
2.784	0.034	70	2.800	2.871	2.000
2.817	0.032	71	2.840	2.904	2.000
2.849	0.051	72	2.880	2.938	2.000
2.900	0.032	73	2.920	2.988	2.000
2.932	0.051	74	2.960	3.021	2.000
2.983	0.033	75	3.000	3.134	2.000
3.017	0.032	76	3.040	3.167	2.000
3.049	0.051	77	3.080	3.200	2.000
3.100	0.032	78	3.120	3.250	2.000
3.132	0.052	79	3.160	3.284	2.000
3.184	0.033	80	3.200	3.334	2.000
3.217	0.032	81	3.240	3.367	2.000
3.249	0.052	82	3.280	3.400	2.000
3.300	0.032	83	3.320	3.459	2.000
3.332	0.051	84	3.360	3.492	2.000
3.383	0.033	85	3.400	3.542	2.000
3.417	0.032	86	3.440	3.575	2.000
3.449	0.052	87	3.480	3.608	2.000
3.500	0.032	88	3.520	3.658	2.000
3.532	0.052	89	3.560	3.692	2.000
3.584	0.033	90	3.600	3.742	2.000
3.617	0.032	91	3.640	3.783	2.000
3.649	0.051	92	3.680	3.816	2.000
3.700	0.032	93	3.720	3.866	2.000
3.732	0.052	94	3.760	3.900	2.000
3.784	0.033	95	3.800	3.950	2.000
3.817	0.032	96	3.840	3.983	2.000
3.849	0.052	97	3.880	4.016	2.000
3.900	0.032	98	3.920	4.066	2.000
3.932	0.052	99	3.960	4.021	2.000
3.983	0.040	100	4.000	4.071	3.999
4.023	0.025	101	4.040	4.104	3.999
4.048	0.051	102	4.080	4.138	3.999
4.100	0.032	103	4.120	4.187	3.999
4.132	0.051	104	4.160	4.221	3.999
4.183	0.034	105	4.200	4.271	3.999
4.217	0.031	106	4.240	4.304	3.999
4.248	0.051	107	4.280	4.337	3.999
4.300	0.032	108	4.320	4.387	3.999
4.332	0.052	109	4.360	4.421	3.999
4.383	0.033	110	4.400	4.471	3.999
4.416	0.032	111	4.440	4.504	3.999
4.448	0.051	112	4.480	4.537	3.999
4.500	0.032	113	4.520	4.587	3.999
4.532	0.052	114	4.560	4.684	3.999
4.583	0.033	115	4.600	4.733	3.999
4.616	0.032	116	4.640	4.767	3.999
4.648	0.052	117	4.680	4.800	3.999
4.700	0.032	118	4.720	4.850	3.999
4.732	0.052	119	4.760	4.883	3.999
4.783	0.034	120	4.800	4.933	3.999
4.817	0.031	121	4.840	4.967	3.999
4.848	0.052	122	4.880	5.008	3.999
4.900	0.032	123	4.920	5.058	3.999
4.932	0.051	124	4.960	5.091	3.999
4.983	0.033	125	5.000	5.141	3.999
5.016	0.032	126	5.040	5.175	3.999
5.048	0.051	127	5.080	5.208	3.999
5.099	0.032	128	5.120	5.258	3.999
5.131	0.054	129	5.160	5.291	3.999
5.186	0.030	130	5.200	5.349	3.999
5.216	0.032	131	5.240	5.383	3.999
5.248	0.051	132	5.280	5.416	3.999
5.299	0.032	133	5.320	5.466	3.999
5.331	0.051	134	5.360	5.499	3.999
5.383	0.034	135	5.400	5.549	3.999
5.416	0.032	136	5.440	5.582	3.999
5.448	0.051	137	5.480	5.616	3.999
5.499	0.032	138	5.520	5.587	3.999
5.531	0.051	139	5.560	5.620	3.999
5.583	0.033	140	5.600	5.670	3.999
5.616	0.032	141	5.640	5.703	3.999
5.648	0.051	142	5.680	5.737	3.999
5.699	0.032	143	5.720	5.787	3.999
5.731	0.052	144	5.760	5.820	3.999
5.783	0.033	145	5.800	5.871	3.999
5.816	0.032	146	5.840	5.904	3.999
5.848	0.051	147	5.880	5.937	3.999
5.899	0.032	148	5.920	5.987	3.999
5.931	0.052	149	5.960	6.020	3.999
5.983	0.037	150	6.000	6.070	5.998
6.020	0.028	151	6.040	6.104	5.998
6.048	0.052	152	6.080	6.137	5.998
6.100	0.032	153	6.120	6.250	5.998
6.131	0.051	154	6.160	6.283	5.998
6.183	0.033	155	6.200	6.333	5.998
6.216	0.032	156	6.240	6.366	5.998
6.248	0.051	157	6.280	6.399	5.998
6.299	0.032	158	6.320	6.449	5.998
6.331	0.052	159	6.360	6.483	5.998
6.383	0.040	160	6.400	6.533	5.998
6.423	0.025	161	6.440	6.534	5.998
6.448	0.053	162	6.480	6.568	5.998
6.501	0.031	163	6.520	6.617	5.998
6.531	0.059	164	6.560	6.651	5.998
6.590	0.035	165	6.600	6.701	5.998
6.625	0.023	166	6.640	6.735	5.998
6.648	0.052	167	6.680	6.770	5.998
6.700	0.031	168	6.720	6.817	5.998
6.731	0.053	169	6.760	6.859	5.998
6.784	0.039	170	6.800	6.909	5.998
6.823	0.025	171	6.840	6.942	5.998
6.848	0.052	172	6.880	6.976	5.998
6.900	0.031	173	6.920	7.025	5.998
6.931	0.057	174	6.960	7.059	5.998
6.988	0.036	175	7.000	7.109	5.998
7.024	0.024	176	7.040	7.142	5.998
7.048	0.052	177	7.080	7.139	5.998
7.099	0.032	178	7.120	7.186	5.998
7.131	0.054	179	7.160	7.220	5.998
7.185	0.037	180	7.200	7.270	5.998
7.222	0.026	181	7.240	7.303	5.998
7.248	0.055	182	7.280	7.336	5.998
7.303	0.028	183	7.320	7.386	5.998
7.331	0.052	184	7.360	7.420	5.998
7.383	0.034	185	7.400	7.470	5.998
7.416	0.031	186	7.440	7.503	5.998
7.447	0.054	187	7.480	7.536	5.998
7.501	0.029	188	7.520	7.586	5.998
7.531	0.054	189	7.560	7.620	5.998
7.584	0.034	190	7.600	7.670	5.998
7.619	0.029	191	7.640	7.703	5.998
7.647	0.055	192	7.680	7.736	5.998
7.702	0.028	193	7.720	7.890	5.998
7.731	0.053	194	7.760	7.923	5.998
7.783	0.035	195	7.800	7.973	5.998
7.818	0.029	196	7.840	8.006	5.998
7.847	0.053	197	7.880	8.039	5.998
7.900	0.030	198	7.920	8.089	5.998
7.930	0.053	199	7.960	8.123	5.998
7.983	0.033	200	8.000	8.140	7.998
8.016	0.031	201	8.040	8.174	7.998
8.047	0.053	202	8.080	8.207	7.998
8.100	0.031	203	8.120	8.257	7.998
8.131	0.053	204	8.160	8.290	7.998
8.184	0.034	205	8.200	8.340	7.998
8.218	0.030	206	8.240	8.374	7.998
8.247	0.053	207	8.280	8.407	7.998
8.300	0.030	208	8.320	8.425	7.998
8.330	0.053	209	8.360	8.458	7.998
8.383	0.033	210	8.400	8.508	7.998
8.417	0.030	211	8.440	8.542	7.998
8.447	0.052	212	8.480	8.575	7.998
8.499	0.031	213	8.520	8.625	7.998
8.530	0.054	214	8.560	8.658	7.998
8.584	0.032	215	8.600	8.708	7.998
8.616	0.031	216	8.640	8.703	7.998
8.647	0.052	217	8.680	8.736	7.998
8.699	0.031	218	8.720	8.786	7.998
8.730	0.053	219	8.760	8.819	7.998
8.783	0.034	220	8.800	8.869	7.998
8.817	0.030	221	8.840	8.903	7.998
8.847	0.056	222	8.880	8.936	7.998
