onset	duration	lh_orientation	rh_orientation
0.1736	3.000	0	90
8.2538	3.000	none	90
16.2015	3.000	0	90
24.1990	3.000	0	45
32.2792	3.000	0	none
40.2100	3.000	0	90
48.1907	3.000	90	135
56.2547	3.000	90	none
64.1853	3.000	90	135
72.1658	3.000	45	135
80.3298	3.000	none	135
88.1939	3.000	45	0
96.2079	3.000	45	0
104.1719	3.000	0	45
112.2690	3.000	0	none
120.1833	3.000	135	45
128.2139	3.000	135	135
136.2942	3.000	none	135
144.2086	3.000	45	0
152.2225	3.000	135	135
160.3356	3.000	none	135
168.1832	3.000	45	0
176.1976	3.000	135	45
184.2778	3.000	135	none
192.1754	3.000	90	45
200.2563	3.000	135	90
208.2704	3.000	135	none
216.1677	3.000	90	90
224.1814	3.000	90	0
232.2454	3.000	90	none
