onset	duration	lh_orientation	rh_orientation
0.1635	3.000	135	45
8.3104	3.000	135	none
16.1748	3.000	45	135
24.2057	3.000	135	0
32.3026	3.000	135	none
40.1500	3.000	45	45
48.2140	3.000	0	135
56.3108	3.000	none	135
64.1586	3.000	90	90
72.2227	3.000	45	0
80.3860	3.000	none	0
88.1505	3.000	90	45
96.1811	3.000	135	90
104.2782	3.000	none	90
112.2757	3.000	0	0
120.2232	3.000	0	135
128.2865	3.000	none	135
136.1842	3.000	0	45
144.2151	3.000	135	135
152.3292	3.000	none	135
160.1762	3.000	90	45
168.1904	3.000	135	90
176.2708	3.000	135	none
184.2013	3.000	45	0
192.1823	3.000	45	135
200.1961	3.000	90	0
208.2928	3.000	none	0
216.2906	3.000	0	90
224.1549	3.000	90	90
232.2681	3.000	none	90
