onset	duration	frameidx	videotime	audiotime	lasttrigger
0.033	0.032	1	0.040	0.000	0.000
0.064	0.018	2	0.080	0.000	0.000
0.083	0.048	3	0.120	0.000	0.000
0.131	0.035	4	0.160	0.000	0.000
0.166	0.050	5	0.200	0.000	0.000
0.216	0.033	6	0.240	0.000	0.000
0.249	0.033	7	0.280	0.000	0.000
0.283	0.050	8	0.320	0.000	0.000
0.333	0.033	9	0.360	0.000	0.000
0.366	0.050	10	0.400	0.000	0.000
0.416	0.033	11	0.440	0.000	0.000
0.449	0.033	12	0.480	0.000	0.000
0.483	0.050	13	0.520	0.000	0.000
0.533	0.033	14	0.560	0.000	0.000
0.566	0.050	15	0.600	0.000	0.000
0.616	0.034	16	0.640	0.000	0.000
0.649	0.033	17	0.680	0.000	0.000
0.683	0.050	18	0.720	0.000	0.000
0.733	0.033	19	0.760	0.953	0.000
0.766	0.050	20	0.800	0.987	0.000
0.816	0.033	21	0.840	1.036	0.000
0.849	0.033	22	0.880	1.069	0.000
0.882	0.050	23	0.920	1.103	0.000
0.932	0.033	24	0.960	1.153	0.000
0.966	0.050	25	1.000	1.187	0.000
1.016	0.033	26	1.040	1.453	0.000
1.049	0.034	27	1.080	1.487	0.000
1.083	0.050	28	1.120	1.520	0.000
1.133	0.033	29	1.160	1.570	0.000
1.166	0.050	30	1.200	1.603	0.000
1.216	0.033	31	1.240	1.653	0.000
1.249	0.032	32	1.280	1.686	0.000
1.282	0.051	33	1.320	1.720	0.000
1.332	0.034	34	1.360	1.568	0.000
1.366	0.050	35	1.400	1.603	0.000
1.416	0.033	36	1.440	1.653	0.000
1.449	0.033	37	1.480	1.686	0.000
1.482	0.049	38	1.520	1.720	0.000
1.532	0.034	39	1.560	1.770	0.000
1.566	0.050	40	1.600	1.803	0.000
1.616	0.033	41	1.640	1.853	0.000
1.649	0.033	42	1.680	2.093	0.000
1.682	0.050	43	1.720	2.127	0.000
1.733	0.033	44	1.760	2.177	0.000
1.766	0.050	45	1.800	2.210	0.000
1.816	0.034	46	1.840	2.260	0.000
1.849	0.033	47	1.880	2.294	0.000
1.882	0.049	48	1.920	2.326	0.000
1.932	0.034	49	1.960	2.376	0.000
1.966	0.050	50	2.000	2.163	1.999
2.016	0.033	51	2.040	2.213	1.999
2.049	0.034	52	2.080	2.246	1.999
2.082	0.050	53	2.120	2.280	1.999
2.132	0.033	54	2.160	2.330	1.999
2.165	0.050	55	2.200	2.363	1.999
2.216	0.031	56	2.240	2.413	1.999
2.247	0.035	57	2.280	2.446	1.999
2.282	0.050	58	2.320	2.528	1.999
2.332	0.033	59	2.360	2.577	1.999
2.365	0.050	60	2.400	2.611	1.999
2.415	0.033	61	2.440	2.661	1.999
2.448	0.034	62	2.480	2.694	1.999
2.482	0.050	63	2.520	2.728	1.999
2.532	0.034	64	2.560	2.778	1.999
2.565	0.048	65	2.600	2.810	1.999
2.614	0.034	66	2.640	2.812	1.999
2.648	0.034	67	2.680	2.846	1.999
2.682	0.050	68	2.720	2.879	1.999
2.732	0.034	69	2.760	2.929	1.999
2.766	0.050	70	2.800	2.963	1.999
2.815	0.033	71	2.840	3.013	1.999
2.849	0.033	72	2.880	3.045	1.999
2.882	0.050	73	2.920	3.079	1.999
2.932	0.033	74	2.960	3.168	1.999
2.965	0.050	75	3.000	3.202	1.999
3.015	0.033	76	3.040	3.252	1.999
3.049	0.033	77	3.080	3.285	1.999
3.082	0.050	78	3.120	3.318	1.999
3.132	0.033	79	3.160	3.368	1.999
3.165	0.050	80	3.200	3.401	1.999
3.215	0.033	81	3.240	3.419	1.999
3.248	0.034	82	3.280	3.453	1.999
3.282	0.050	83	3.320	3.486	1.999
3.332	0.033	84	3.360	3.536	1.999
3.365	0.050	85	3.400	3.569	1.999
3.415	0.034	86	3.440	3.620	1.999
3.449	0.033	87	3.480	3.653	1.999
3.482	0.050	88	3.520	3.686	1.999
3.532	0.033	89	3.560	3.784	1.999
3.565	0.050	90	3.600	3.817	1.999
3.615	0.034	91	3.640	3.868	1.999
3.649	0.033	92	3.680	3.901	1.999
3.682	0.050	93	3.720	3.934	1.999
3.732	0.033	94	3.760	3.984	1.999
3.765	0.050	95	3.800	4.017	1.999
3.815	0.033	96	3.840	4.067	1.999
3.848	0.034	97	3.880	4.069	1.999
3.882	0.050	98	3.920	4.102	1.999
3.932	0.033	99	3.960	4.152	1.999
3.965	0.050	100	4.000	4.185	3.999
4.015	0.034	101	4.040	4.236	3.999
4.048	0.033	102	4.080	4.268	3.999
4.082	0.049	103	4.120	4.302	3.999
4.131	0.033	104	4.160	4.352	3.999
4.164	0.051	105	4.200	4.338	3.999
4.215	0.034	106	4.240	4.389	3.999
4.248	0.033	107	4.280	4.422	3.999
4.281	0.050	108	4.320	4.455	3.999
4.331	0.034	109	4.360	4.505	3.999
4.365	0.050	110	4.400	4.538	3.999
4.415	0.033	111	4.440	4.588	3.999
4.448	0.050	112	4.480	4.668	3.999
4.498	0.033	113	4.520	4.719	3.999
4.531	0.034	114	4.560	4.753	3.999
4.565	0.050	115	4.600	4.786	3.999
4.615	0.033	116	4.640	4.836	3.999
4.648	0.033	117	4.680	4.870	3.999
4.682	0.050	118	4.720	4.903	3.999
4.731	0.033	119	4.760	4.953	3.999
4.765	0.050	120	4.800	4.936	3.999
4.815	0.033	121	4.840	4.988	3.999
4.848	0.034	122	4.880	5.022	3.999
4.882	0.050	123	4.920	5.055	3.999
4.931	0.033	124	4.960	5.105	3.999
4.964	0.050	125	5.000	5.138	3.999
5.015	0.034	126	5.040	5.188	3.999
5.048	0.033	127	5.080	5.222	3.999
5.082	0.050	128	5.120	5.303	3.999
5.131	0.033	129	5.160	5.353	3.999
5.164	0.050	130	5.200	5.386	3.999
5.214	0.034	131	5.240	5.436	3.999
5.248	0.033	132	5.280	5.469	3.999
5.280	0.051	133	5.320	5.503	3.999
5.331	0.033	134	5.360	5.553	3.999
5.364	0.051	135	5.400	5.586	3.999
5.415	0.033	136	5.440	5.795	3.999
5.448	0.033	137	5.480	5.828	3.999
5.481	0.050	138	5.520	5.862	3.999
5.531	0.034	139	5.560	5.911	3.999
5.565	0.050	140	5.600	5.945	3.999
5.615	0.033	141	5.640	5.994	3.999
5.648	0.031	142	5.680	6.028	3.999
5.679	0.052	143	5.720	6.061	3.999
5.731	0.034	144	5.760	6.039	3.999
5.764	0.050	145	5.800	6.073	3.999
5.815	0.033	146	5.840	6.123	3.999
5.848	0.033	147	5.880	6.156	3.999
5.881	0.050	148	5.920	6.190	3.999
5.931	0.034	149	5.960	6.239	3.999
5.965	0.050	150	6.000	6.273	5.996
