onset	duration	lh_orientation	rh_orientation
0.1810	3.000	0	0
8.2111	3.000	none	0
16.1919	3.000	135	0
24.1225	3.000	45	45
32.1700	3.000	45	none
40.1504	3.000	135	45
48.1313	3.000	90	45
56.1785	3.000	90	none
64.1593	3.000	45	0
72.1566	3.000	90	0
80.1539	3.000	90	none
88.1509	3.000	135	90
96.1652	3.000	45	135
104.2122	3.000	none	135
112.1432	3.000	45	90
120.1569	3.000	135	90
128.1878	3.000	135	none
136.1349	3.000	90	90
144.1322	3.000	90	90
152.1963	3.000	0	0
160.2101	3.000	0	none
168.2081	3.000	0	135
176.1547	3.000	45	135
184.2020	3.000	none	135
192.1494	3.000	135	45
200.1969	3.000	0	135
208.1947	3.000	0	none
216.1915	3.000	0	135
224.1388	3.000	90	45
232.1526	3.000	none	45
