onset	duration	lh_orientation	rh_orientation
0.2034	3.000	0	0
8.2005	3.000	none	0
16.2145	3.000	0	0
24.2121	3.000	0	0
32.2098	3.000	0	none
40.1565	3.000	45	90
48.1371	3.000	90	90
56.1846	3.000	none	90
64.1819	3.000	45	0
72.1459	3.000	45	45
80.1765	3.000	45	135
88.1736	3.000	45	none
96.1878	3.000	90	135
104.1686	3.000	0	45
112.1659	3.000	none	45
120.1797	3.000	135	45
128.1770	3.000	90	135
136.1910	3.000	none	135
144.1552	3.000	135	90
152.1523	3.000	135	90
160.1665	3.000	none	90
168.1301	3.000	90	45
176.1609	3.000	45	135
184.1582	3.000	45	none
192.1889	3.000	135	135
200.1361	3.000	90	90
208.1669	3.000	none	90
216.1641	3.000	135	45
224.2118	3.000	0	0
232.2088	3.000	none	0
