onset	duration	lh_orientation	rh_orientation
0.1382	3.000	90	90
8.2517	3.000	none	90
16.2329	3.000	0	0
24.1967	3.000	90	0
32.1778	3.000	45	135
40.2914	3.000	none	135
48.1888	3.000	90	45
56.2030	3.000	135	90
64.2663	3.000	none	90
72.1474	3.000	45	45
80.2449	3.000	0	135
88.2916	3.000	0	none
96.1559	3.000	45	45
104.2035	3.000	0	135
112.2669	3.000	0	none
120.2313	3.000	0	0
128.2118	3.000	135	135
136.2922	3.000	none	135
144.1564	3.000	90	45
152.1705	3.000	45	0
160.2841	3.000	none	0
168.1653	3.000	45	90
176.1960	3.000	135	90
184.2927	3.000	135	none
192.1737	3.000	90	45
200.2046	3.000	0	0
208.3180	3.000	none	0
216.2326	3.000	135	135
224.1968	3.000	135	90
232.2772	3.000	135	none
