onset	duration	lh_orientation	rh_orientation
0.1738	3.000	90	0
8.2876	3.000	none	0
16.1513	3.000	0	45
24.1655	3.000	0	45
32.2794	3.000	0	none
40.2764	3.000	135	135
48.1907	3.000	0	0
56.2711	3.000	none	0
64.1693	3.000	0	90
72.1660	3.000	90	0
80.2799	3.000	none	0
88.1941	3.000	90	135
96.2415	3.000	135	0
104.2720	3.000	135	none
112.1695	3.000	45	135
120.1166	3.000	90	45
128.2470	3.000	90	none
136.1616	3.000	45	90
144.1584	3.000	45	135
152.3220	3.000	none	135
160.1531	3.000	90	0
168.1338	3.000	45	45
176.2473	3.000	45	none
184.1784	3.000	135	90
192.2255	3.000	135	45
200.1564	3.000	45	135
208.2369	3.000	45	none
216.1676	3.000	135	90
224.1815	3.000	0	90
232.2788	3.000	0	none
