onset	duration	lh_orientation	rh_orientation
0.1497	3.000	135	45
8.1646	3.000	90	0
16.3277	3.000	none	0
24.1249	3.000	45	45
32.1896	3.000	0	0
40.2871	3.000	0	none
48.1677	3.000	135	90
56.1308	3.000	135	45
64.2947	3.000	none	45
72.1425	3.000	45	90
80.1904	3.000	135	0
88.3045	3.000	135	none
96.1674	3.000	45	135
104.1317	3.000	0	45
112.2952	3.000	none	45
120.1762	3.000	45	135
128.1744	3.000	0	90
136.2877	3.000	0	none
144.1856	3.000	90	135
152.1156	3.000	90	45
160.2957	3.000	none	45
168.1938	3.000	90	135
176.1749	3.000	45	0
184.2888	3.000	45	none
192.1862	3.000	0	90
200.1659	3.000	135	135
208.3299	3.000	none	135
216.1780	3.000	90	90
224.2088	3.000	0	0
232.3067	3.000	none	0
