onset	duration	lh_orientation	rh_orientation
0.1264	3.000	45	45
8.1571	3.000	none	45
16.1545	3.000	135	45
24.1685	3.000	135	45
32.1657	3.000	none	45
40.1797	3.000	45	0
48.1771	3.000	90	135
56.2076	3.000	none	135
64.1885	3.000	135	135
72.1689	3.000	90	0
80.1995	3.000	none	0
88.2134	3.000	90	135
96.1775	3.000	0	45
104.2247	3.000	0	none
112.2051	3.000	0	90
120.1860	3.000	0	90
128.1835	3.000	none	90
136.2308	3.000	0	0
144.1616	3.000	90	45
152.1753	3.000	none	45
160.1556	3.000	45	90
168.1534	3.000	45	90
176.1673	3.000	45	none
184.1979	3.000	45	0
192.2120	3.000	135	135
200.2094	3.000	none	135
208.2231	3.000	135	0
216.1871	3.000	0	90
224.1844	3.000	none	90
232.1818	3.000	90	135
