onset	duration	lh_orientation	rh_orientation
0.1594	3.000	135	90
8.1736	3.000	none	90
16.2040	3.000	0	0
24.1681	3.000	90	135
32.2153	3.000	none	135
40.1794	3.000	90	0
48.2101	3.000	135	135
56.1573	3.000	0	45
64.1879	3.000	0	none
72.1354	3.000	90	45
80.1659	3.000	45	0
88.2298	3.000	none	0
96.1772	3.000	135	90
104.1579	3.000	90	135
112.1716	3.000	90	none
120.1524	3.000	45	90
128.1499	3.000	45	90
136.1805	3.000	45	none
144.1777	3.000	135	90
152.1583	3.000	0	45
160.1890	3.000	none	45
168.1698	3.000	90	135
176.1171	3.000	45	45
184.1810	3.000	45	none
192.1781	3.000	45	0
200.1755	3.000	0	45
208.2061	3.000	0	none
216.2036	3.000	135	0
224.1842	3.000	0	135
232.2148	3.000	none	135
