onset	duration	frameidx	videotime	audiotime	lasttrigger
0.050	0.033	1	0.040	0.000	0.000
0.083	0.019	2	0.080	0.000	0.000
0.102	0.031	3	0.120	0.000	0.000
0.133	0.067	4	0.160	0.000	0.000
0.200	0.021	5	0.200	0.000	0.000
0.221	0.029	6	0.240	0.000	0.000
0.250	0.053	7	0.280	0.000	0.000
0.303	0.030	8	0.320	0.000	0.000
0.333	0.053	9	0.360	0.000	0.000
0.386	0.033	10	0.400	0.000	0.000
0.419	0.031	11	0.440	0.000	0.000
0.450	0.053	12	0.480	0.000	0.000
0.503	0.030	13	0.520	0.753	0.000
0.533	0.053	14	0.560	0.786	0.000
0.586	0.047	15	0.600	0.836	0.000
0.633	0.036	16	0.640	0.870	0.000
0.669	0.034	17	0.680	0.920	0.000
0.703	0.030	18	0.720	0.953	0.000
0.733	0.067	19	0.760	0.986	0.000
0.799	0.034	20	0.800	0.900	0.000
0.833	0.016	21	0.840	0.953	0.000
0.850	0.053	22	0.880	0.967	0.000
0.902	0.031	23	0.920	1.016	0.000
0.933	0.054	24	0.960	1.050	0.000
0.987	0.033	25	1.000	1.100	0.000
1.020	0.030	26	1.040	1.133	0.000
1.049	0.067	27	1.080	1.166	0.000
1.116	0.036	28	1.120	1.304	0.000
1.152	0.033	29	1.160	1.354	0.000
1.186	0.033	30	1.200	1.388	0.000
1.219	0.030	31	1.240	1.421	0.000
1.249	0.053	32	1.280	1.454	0.000
1.303	0.030	33	1.320	1.505	0.000
1.333	0.053	34	1.360	1.538	0.000
1.386	0.034	35	1.400	1.588	0.000
1.420	0.030	36	1.440	1.549	0.000
1.449	0.053	37	1.480	1.583	0.000
1.502	0.030	38	1.520	1.632	0.000
1.533	0.067	39	1.560	1.666	0.000
1.599	0.034	40	1.600	1.716	0.000
1.633	0.016	41	1.640	1.769	0.000
1.649	0.053	42	1.680	1.783	0.000
1.702	0.030	43	1.720	1.920	0.000
1.733	0.053	44	1.760	1.953	0.000
1.786	0.033	45	1.800	2.003	0.000
1.819	0.030	46	1.840	2.037	0.000
1.849	0.067	47	1.880	2.070	0.000
1.916	0.036	48	1.920	2.120	0.000
1.952	0.033	49	1.960	2.170	0.000
1.986	0.034	50	2.000	2.203	2.000
2.020	0.030	51	2.040	2.150	2.000
2.049	0.053	52	2.080	2.183	2.000
2.102	0.030	53	2.120	2.233	2.000
2.132	0.053	54	2.160	2.267	2.000
2.185	0.047	55	2.200	2.317	2.000
2.232	0.036	56	2.240	2.350	2.000
2.269	0.033	57	2.280	2.400	2.000
2.302	0.030	58	2.320	2.433	2.000
2.332	0.053	59	2.360	2.514	2.000
2.386	0.033	60	2.400	2.564	2.000
2.419	0.030	61	2.440	2.598	2.000
2.449	0.053	62	2.480	2.631	2.000
2.502	0.030	63	2.520	2.681	2.000
2.532	0.053	64	2.560	2.714	2.000
2.585	0.033	65	2.600	2.764	2.000
2.618	0.030	66	2.640	2.798	2.000
2.649	0.067	67	2.680	2.783	2.000
2.716	0.036	68	2.720	2.833	2.000
2.752	0.034	69	2.760	2.883	2.000
2.785	0.033	70	2.800	2.916	2.000
2.819	0.030	71	2.840	2.950	2.000
2.849	0.053	72	2.880	2.983	2.000
2.902	0.030	73	2.920	3.033	2.000
2.932	0.053	74	2.960	3.066	2.000
2.985	0.047	75	3.000	3.275	2.000
3.032	0.036	76	3.040	3.308	2.000
3.068	0.033	77	3.080	3.359	2.000
3.102	0.031	78	3.120	3.392	2.000
3.132	0.067	79	3.160	3.425	2.000
3.199	0.034	80	3.200	3.475	2.000
3.232	0.016	81	3.240	3.528	2.000
3.249	0.053	82	3.280	3.542	2.000
3.302	0.030	83	3.320	3.520	2.000
3.332	0.053	84	3.360	3.553	2.000
3.385	0.033	85	3.400	3.603	2.000
3.418	0.030	86	3.440	3.637	2.000
3.449	0.067	87	3.480	3.670	2.000
3.515	0.036	88	3.520	3.720	2.000
3.552	0.034	89	3.560	3.770	2.000
3.586	0.033	90	3.600	3.891	2.000
3.619	0.030	91	3.640	3.924	2.000
3.649	0.053	92	3.680	3.957	2.000
3.702	0.030	93	3.720	4.008	2.000
3.732	0.053	94	3.760	4.041	2.000
3.785	0.047	95	3.800	4.091	2.000
3.832	0.036	96	3.840	4.124	2.000
3.868	0.033	97	3.880	4.174	2.000
3.901	0.031	98	3.920	4.136	2.000
3.932	0.067	99	3.960	4.169	2.000
3.998	0.034	100	4.000	4.219	3.999
4.032	0.016	101	4.040	4.272	3.999
4.048	0.053	102	4.080	4.286	3.999
4.101	0.030	103	4.120	4.336	3.999
4.132	0.053	104	4.160	4.369	3.999
4.185	0.034	105	4.200	4.419	3.999
4.220	0.029	106	4.240	4.325	3.999
4.248	0.067	107	4.280	4.358	3.999
4.315	0.036	108	4.320	4.408	3.999
4.351	0.034	109	4.360	4.458	3.999
4.385	0.033	110	4.400	4.492	3.999
4.418	0.030	111	4.440	4.525	3.999
4.448	0.055	112	4.480	4.558	3.999
4.503	0.029	113	4.520	4.608	3.999
4.532	0.053	114	4.560	4.690	3.999
4.585	0.047	115	4.600	4.740	3.999
4.632	0.036	116	4.640	4.773	3.999
4.668	0.033	117	4.680	4.823	3.999
4.701	0.030	118	4.720	4.856	3.999
4.731	0.054	119	4.760	4.890	3.999
4.785	0.034	120	4.800	4.940	3.999
4.819	0.029	121	4.840	4.973	3.999
4.848	0.053	122	4.880	4.958	3.999
4.901	0.030	123	4.920	5.008	3.999
4.931	0.067	124	4.960	5.042	3.999
4.998	0.034	125	5.000	5.091	3.999
5.032	0.016	126	5.040	5.145	3.999
5.048	0.053	127	5.080	5.158	3.999
5.101	0.030	128	5.120	5.208	3.999
5.131	0.067	129	5.160	5.289	3.999
5.198	0.034	130	5.200	5.339	3.999
5.232	0.016	131	5.240	5.393	3.999
5.248	0.053	132	5.280	5.406	3.999
5.301	0.030	133	5.320	5.456	3.999
5.331	0.053	134	5.360	5.489	3.999
5.385	0.034	135	5.400	5.539	3.999
5.418	0.030	136	5.440	5.573	3.999
5.448	0.067	137	5.480	5.645	3.999
5.515	0.036	138	5.520	5.695	3.999
5.550	0.033	139	5.560	5.745	3.999
5.584	0.034	140	5.600	5.778	3.999
5.617	0.031	141	5.640	5.812	3.999
5.648	0.053	142	5.680	5.845	3.999
5.701	0.030	143	5.720	5.895	3.999
5.731	0.054	144	5.760	5.928	3.999
5.785	0.046	145	5.800	5.947	3.999
5.831	0.036	146	5.840	5.980	3.999
