onset	duration	lh_orientation	rh_orientation
0.3161	3.000	135	0
8.3106	3.000	none	0
16.2578	3.000	0	45
24.2890	3.000	0	90
32.2861	3.000	0	none
40.2003	3.000	45	45
48.2145	3.000	45	45
56.2274	3.000	none	45
64.2413	3.000	135	90
72.2247	3.000	90	90
80.2554	3.000	none	90
88.2337	3.000	45	135
96.2636	3.000	90	0
104.2613	3.000	90	none
112.2082	3.000	90	90
120.2897	3.000	135	135
128.3195	3.000	none	135
136.2501	3.000	90	0
144.2306	3.000	90	0
152.3110	3.000	135	135
160.2751	3.000	135	none
168.2063	3.000	45	90
176.2696	3.000	45	0
184.2336	3.000	45	none
192.3145	3.000	0	135
200.2456	3.000	135	45
208.2753	3.000	135	none
216.2726	3.000	0	45
224.3200	3.000	0	135
232.2837	3.000	none	135
