onset	duration	lh_orientation	rh_orientation
0.2702	3.000	45	135
8.2339	3.000	45	none
16.2331	3.000	45	90
24.2451	3.000	135	90
32.2925	3.000	135	none
40.3064	3.000	0	135
48.2868	3.000	90	135
56.2843	3.000	90	none
64.3326	3.000	0	0
72.2452	3.000	0	90
80.2592	3.000	none	90
88.2731	3.000	135	90
96.2876	3.000	135	0
104.2850	3.000	135	none
112.2320	3.000	45	0
120.2124	3.000	90	45
128.2262	3.000	90	none
136.3244	3.000	0	0
144.2038	3.000	90	90
152.2679	3.000	90	none
160.2659	3.000	135	45
168.3291	3.000	0	135
176.2776	3.000	none	135
184.2402	3.000	135	45
192.2042	3.000	90	45
200.2349	3.000	none	45
208.2653	3.000	45	0
216.1958	3.000	45	45
224.2632	3.000	90	135
232.3071	3.000	none	135
