onset	duration	lh_orientation	rh_orientation
0.2764	3.000	0	90
8.2243	3.000	none	90
16.2209	3.000	90	45
24.2849	3.000	0	0
32.2654	3.000	0	none
40.2292	3.000	45	0
48.2597	3.000	90	0
56.2741	3.000	135	0
64.2877	3.000	none	0
72.2848	3.000	135	135
80.2156	3.000	90	45
88.2638	3.000	90	none
96.1766	3.000	45	45
104.2409	3.000	90	135
112.2879	3.000	none	135
120.3190	3.000	0	135
128.3155	3.000	135	135
136.2796	3.000	none	135
144.1601	3.000	45	45
152.2240	3.000	135	90
160.2406	3.000	none	90
168.2047	3.000	45	90
176.2159	3.000	90	135
184.2798	3.000	none	135
192.2287	3.000	135	90
200.2243	3.000	0	90
208.2406	3.000	none	90
216.2521	3.000	0	45
224.2494	3.000	45	0
232.2131	3.000	45	none
