onset	duration	lh_orientation	rh_orientation
0.2808	3.000	90	135
8.2279	3.000	0	45
16.2937	3.000	0	none
24.1890	3.000	45	90
32.3029	3.000	135	135
40.2837	3.000	135	none
48.2645	3.000	45	0
56.1780	3.000	45	45
64.2253	3.000	45	none
72.2397	3.000	90	0
80.2708	3.000	0	45
88.2340	3.000	none	45
96.2646	3.000	0	45
104.2948	3.000	0	0
112.2769	3.000	0	none
120.3061	3.000	135	135
128.2701	3.000	135	90
136.3173	3.000	135	none
144.2814	3.000	90	0
152.2457	3.000	135	90
160.2256	3.000	none	90
168.2397	3.000	45	0
176.2392	3.000	0	90
184.2850	3.000	0	none
192.3147	3.000	135	135
200.2118	3.000	90	45
208.2591	3.000	90	none
216.2397	3.000	90	135
224.2204	3.000	45	90
232.2341	3.000	45	none
