onset	duration	lh_orientation	rh_orientation
0.1857	3.000	45	135
8.2995	3.000	none	135
16.1801	3.000	45	90
24.1778	3.000	90	90
32.3105	3.000	none	90
40.1559	3.000	90	45
48.2037	3.000	135	135
56.3000	3.000	none	135
64.1808	3.000	135	45
72.1449	3.000	0	90
80.3085	3.000	none	90
88.1732	3.000	0	90
96.2043	3.000	135	135
104.3017	3.000	none	135
112.1981	3.000	0	90
120.2130	3.000	0	135
128.3263	3.000	none	135
136.2077	3.000	90	0
144.1382	3.000	45	45
152.2857	3.000	45	none
160.1652	3.000	135	45
168.1969	3.000	0	0
176.3271	3.000	none	0
184.1910	3.000	135	0
192.1722	3.000	45	0
200.2363	3.000	45	none
208.1830	3.000	90	135
216.1305	3.000	45	45
224.2614	3.000	45	none
232.1577	3.000	90	0
