onset	duration	lh_orientation	rh_orientation
0.2102	3.000	0	0
8.3570	3.000	none	0
16.2375	3.000	0	135
24.1688	3.000	45	135
32.2674	3.000	45	none
40.1966	3.000	135	45
48.1453	3.000	90	45
56.3089	3.000	90	none
64.1715	3.000	90	90
72.1858	3.000	45	135
80.3161	3.000	45	none
88.2470	3.000	135	0
96.1610	3.000	90	45
104.2749	3.000	90	none
112.2721	3.000	135	0
120.1698	3.000	45	90
128.3017	3.000	none	90
136.1976	3.000	90	45
144.1782	3.000	135	45
152.3419	3.000	135	none
160.2228	3.000	0	0
168.2035	3.000	0	90
176.3014	3.000	none	90
184.1654	3.000	45	90
192.1956	3.000	90	135
200.3091	3.000	90	none
208.1901	3.000	0	90
216.1875	3.000	45	135
224.3185	3.000	none	135
232.2163	3.000	135	0
