onset	duration	frameidx	videotime	audiotime
0.042	0.033	1	0.040	4.022
0.075	0.017	2	0.080	4.067
0.091	0.033	3	0.120	4.084
0.125	0.167	4	0.160	4.117
0.291	0.033	5	0.200	0.150
0.325	0.058	6	0.240	0.183
0.383	0.017	7	0.280	0.241
0.400	0.050	8	0.320	0.258
0.450	0.033	9	0.360	0.308
0.483	0.050	10	0.400	0.341
0.533	0.033	11	0.440	0.391
0.566	0.033	12	0.480	0.425
0.600	0.050	13	0.520	0.458
0.650	0.033	14	0.560	0.508
0.683	0.050	15	0.600	0.541
0.733	0.033	16	0.640	0.990
0.766	0.033	17	0.680	1.023
0.800	0.050	18	0.720	1.057
0.850	0.033	19	0.760	1.107
0.883	0.050	20	0.800	1.140
0.933	0.033	21	0.840	1.190
0.967	0.033	22	0.880	1.223
1.000	0.050	23	0.920	1.257
1.050	0.033	24	0.960	1.275
1.083	0.050	25	1.000	1.308
1.133	0.033	26	1.040	1.358
1.167	0.033	27	1.080	1.391
1.200	0.067	28	1.120	1.425
1.267	0.050	29	1.160	1.483
1.317	0.050	30	1.200	1.533
1.367	0.025	31	1.240	1.671
1.392	0.050	32	1.280	1.696
1.442	0.025	33	1.320	1.746
1.467	0.050	34	1.360	1.771
1.517	0.050	35	1.400	1.821
1.567	0.025	36	1.440	1.871
1.592	0.050	37	1.480	1.896
1.642	0.025	38	1.520	1.946
1.667	0.050	39	1.560	1.852
1.717	0.050	40	1.600	1.902
1.767	0.025	41	1.640	1.952
1.792	0.050	42	1.680	1.977
1.842	0.025	43	1.720	2.027
1.867	0.050	44	1.760	2.052
1.917	0.050	45	1.800	2.102
1.967	0.025	46	1.840	2.152
1.992	0.050	47	1.880	2.177
2.042	0.025	48	1.920	2.227
2.067	0.050	49	1.960	2.252
2.117	0.050	50	2.000	2.302
2.167	0.025	51	2.040	2.352
2.192	0.050	52	2.080	2.377
2.242	0.025	53	2.120	2.427
2.267	0.050	54	2.160	2.452
2.317	0.050	55	2.200	2.525
2.367	0.025	56	2.240	2.575
2.392	0.050	57	2.280	2.600
2.442	0.025	58	2.320	2.650
2.467	0.050	59	2.360	2.675
2.517	0.050	60	2.400	2.725
2.567	0.025	61	2.440	2.775
2.592	0.050	62	2.480	2.808
2.642	0.025	63	2.520	2.858
2.667	0.050	64	2.560	2.883
2.717	0.050	65	2.600	2.933
2.767	0.025	66	2.640	2.983
2.792	0.050	67	2.680	3.008
2.842	0.025	68	2.720	3.058
2.867	0.050	69	2.760	3.083
2.917	0.050	70	2.800	3.181
2.967	0.025	71	2.840	3.231
2.992	0.050	72	2.880	3.256
3.042	0.025	73	2.920	3.306
3.067	0.050	74	2.960	3.331
