onset	duration	frameidx	videotime	audiotime
0.025	0.033	1	0.040	4.343
0.058	0.033	2	0.080	4.376
0.092	0.033	3	0.120	4.409
0.125	0.167	4	0.160	4.442
0.292	0.042	5	0.200	0.141
0.333	0.050	6	0.240	0.183
0.383	0.050	7	0.280	0.233
0.433	0.025	8	0.320	0.283
0.458	0.050	9	0.360	0.308
0.508	0.050	10	0.400	0.358
0.558	0.025	11	0.440	0.408
0.583	0.050	12	0.480	0.433
0.633	0.050	13	0.520	0.483
0.683	0.025	14	0.560	0.533
0.708	0.050	15	0.600	0.558
0.758	0.025	16	0.640	0.986
0.783	0.050	17	0.680	1.011
0.833	0.050	18	0.720	1.061
0.883	0.025	19	0.760	1.111
0.908	0.050	20	0.800	1.136
0.958	0.025	21	0.840	1.186
0.983	0.050	22	0.880	1.211
1.033	0.050	23	0.920	1.261
1.083	0.025	24	0.960	1.319
1.109	0.050	25	1.000	1.344
1.159	0.025	26	1.040	1.394
1.184	0.050	27	1.080	1.419
1.234	0.050	28	1.120	1.469
1.284	0.025	29	1.160	1.519
1.309	0.050	30	1.200	1.544
1.359	0.025	31	1.240	1.602
1.384	0.050	32	1.280	1.627
1.434	0.050	33	1.320	1.677
1.484	0.025	34	1.360	1.727
1.509	0.050	35	1.400	1.752
1.559	0.025	36	1.440	1.802
1.584	0.050	37	1.480	1.827
1.634	0.050	38	1.520	1.877
1.684	0.025	39	1.560	1.848
1.709	0.050	40	1.600	1.874
1.759	0.025	41	1.640	1.923
1.784	0.050	42	1.680	1.949
1.834	0.050	43	1.720	1.999
1.884	0.025	44	1.760	2.049
1.909	0.050	45	1.800	2.074
1.959	0.025	46	1.840	2.124
1.984	0.050	47	1.880	2.149
2.034	0.050	48	1.920	2.199
2.084	0.025	49	1.960	2.249
2.109	0.050	50	2.000	2.274
2.159	0.025	51	2.040	2.324
2.184	0.050	52	2.080	2.349
2.234	0.050	53	2.120	2.399
2.284	0.025	54	2.160	2.449
2.309	0.050	55	2.200	2.537
2.359	0.025	56	2.240	2.587
2.384	0.050	57	2.280	2.612
2.434	0.050	58	2.320	2.662
2.484	0.025	59	2.360	2.712
2.509	0.050	60	2.400	2.737
2.559	0.025	61	2.440	2.787
2.584	0.050	62	2.480	2.812
2.634	0.050	63	2.520	2.870
2.684	0.025	64	2.560	2.920
2.709	0.050	65	2.600	2.945
2.759	0.025	66	2.640	2.995
2.784	0.050	67	2.680	3.020
2.834	0.050	68	2.720	3.070
2.884	0.025	69	2.760	3.120
2.909	0.050	70	2.800	3.145
2.959	0.025	71	2.840	3.203
2.984	0.050	72	2.880	3.228
3.034	0.050	73	2.920	3.278
3.084	0.025	74	2.960	3.328
3.109	0.050	75	3.000	3.353
3.159	0.025	76	3.040	3.403
3.184	0.050	77	3.080	3.428
3.234	0.050	78	3.120	3.399
3.284	0.025	79	3.160	3.449
3.309	0.050	80	3.200	3.474
3.359	0.025	81	3.240	3.524
3.384	0.050	82	3.280	3.549
3.434	0.050	83	3.320	3.599
3.484	0.025	84	3.360	3.649
3.509	0.050	85	3.400	3.674
3.559	0.025	86	3.440	3.724
3.584	0.050	87	3.480	3.749
3.634	0.050	88	3.520	3.799
3.684	0.025	89	3.560	3.849
3.709	0.050	90	3.600	3.874
3.759	0.025	91	3.640	3.924
3.784	0.050	92	3.680	3.949
3.834	0.050	93	3.720	3.999
3.884	0.025	94	3.760	4.112
3.909	0.050	95	3.800	4.137
3.959	0.025	96	3.840	4.187
3.984	0.050	97	3.880	4.212
4.034	0.050	98	3.920	4.262
4.084	0.025	99	3.960	4.312
4.109	0.050	100	4.000	4.337
4.159	0.025	101	4.040	4.387
4.184	0.050	102	4.080	4.420
4.234	0.050	103	4.120	4.470
4.284	0.025	104	4.160	4.520
4.309	0.050	105	4.200	4.545
4.359	0.025	106	4.240	4.595
4.384	0.050	107	4.280	4.620
4.434	0.050	108	4.320	4.670
4.484	0.025	109	4.360	4.728
4.509	0.050	110	4.400	4.753
4.559	0.025	111	4.440	4.803
4.584	0.050	112	4.480	4.828
4.634	0.050	113	4.520	4.878
4.684	0.025	114	4.560	4.928
4.709	0.050	115	4.600	4.953
4.759	0.025	116	4.640	5.003
4.784	0.050	117	4.680	5.028
4.834	0.050	118	4.720	4.999
4.884	0.025	119	4.760	5.049
4.909	0.050	120	4.800	5.074
4.959	0.025	121	4.840	5.124
