onset	duration	lh_orientation	rh_orientation
0.1733	3.000	0	45
8.1706	3.000	none	45
16.1514	3.000	45	90
24.1485	3.000	45	90
32.1792	3.000	45	none
40.1766	3.000	90	0
48.1737	3.000	135	90
56.1881	3.000	none	90
64.2184	3.000	0	0
72.1658	3.000	45	135
80.2132	3.000	none	135
88.1604	3.000	90	90
96.1744	3.000	135	45
104.1718	3.000	none	45
112.1859	3.000	90	0
120.1997	3.000	0	0
128.1803	3.000	90	0
136.2110	3.000	none	0
144.1916	3.000	135	135
152.1889	3.000	0	135
160.1861	3.000	0	none
168.1504	3.000	45	135
176.1643	3.000	135	90
184.1781	3.000	none	90
192.1593	3.000	0	45
200.1561	3.000	45	135
208.1868	3.000	none	135
216.1341	3.000	90	45
224.1650	3.000	135	45
232.1960	3.000	135	none
