onset	duration	frameidx	videotime	audiotime	lasttrigger
0.050	0.033	1	0.040	0.000	0.000
0.083	0.020	2	0.080	0.000	0.000
0.103	0.030	3	0.120	0.000	0.000
0.133	0.067	4	0.160	0.000	0.000
0.200	0.050	5	0.200	0.000	0.000
0.249	0.020	6	0.240	0.000	0.000
0.269	0.047	7	0.280	0.000	0.000
0.316	0.037	8	0.320	0.000	0.000
0.353	0.034	9	0.360	0.000	0.000
0.387	0.029	10	0.400	0.000	0.000
0.416	0.054	11	0.440	0.000	0.000
0.470	0.034	12	0.480	0.000	0.000
0.504	0.029	13	0.520	0.000	0.000
0.533	0.053	14	0.560	0.000	0.000
0.585	0.031	15	0.600	0.000	0.000
0.616	0.053	16	0.640	0.000	0.000
0.669	0.033	17	0.680	0.000	0.000
0.702	0.030	18	0.720	0.000	0.000
0.733	0.054	19	0.760	0.000	0.000
0.786	0.029	20	0.800	0.982	0.000
0.816	0.053	21	0.840	1.015	0.000
0.869	0.033	22	0.880	1.065	0.000
0.902	0.030	23	0.920	1.099	0.000
0.932	0.054	24	0.960	1.132	0.000
0.986	0.030	25	1.000	1.182	0.000
1.016	0.066	26	1.040	1.215	0.000
1.082	0.034	27	1.080	1.265	0.000
1.116	0.017	28	1.120	1.366	0.000
1.132	0.053	29	1.160	1.380	0.000
1.185	0.030	30	1.200	1.430	0.000
1.216	0.054	31	1.240	1.463	0.000
1.270	0.033	32	1.280	1.513	0.000
1.303	0.029	33	1.320	1.547	0.000
1.332	0.053	34	1.360	1.580	0.000
1.386	0.030	35	1.400	1.630	0.000
1.416	0.053	36	1.440	1.632	0.000
1.469	0.034	37	1.480	1.682	0.000
1.504	0.029	38	1.520	1.715	0.000
1.532	0.054	39	1.560	1.749	0.000
1.586	0.030	40	1.600	1.799	0.000
1.616	0.053	41	1.640	1.832	0.000
1.669	0.033	42	1.680	1.882	0.000
1.702	0.030	43	1.720	1.883	0.000
1.732	0.053	44	1.760	1.916	0.000
1.785	0.030	45	1.800	1.965	0.000
1.816	0.053	46	1.840	1.999	0.000
1.868	0.034	47	1.880	2.049	0.000
1.902	0.030	48	1.920	2.082	0.000
1.932	0.054	49	1.960	2.115	0.000
1.986	0.030	50	2.000	2.166	2.000
2.015	0.053	51	2.040	2.153	2.000
2.068	0.047	52	2.080	2.202	2.000
2.115	0.036	53	2.120	2.235	2.000
2.151	0.034	54	2.160	2.285	2.000
2.185	0.030	55	2.200	2.318	2.000
2.215	0.054	56	2.240	2.352	2.000
2.269	0.033	57	2.280	2.402	2.000
2.303	0.029	58	2.320	2.435	2.000
2.332	0.054	59	2.360	2.517	2.000
2.385	0.030	60	2.400	2.567	2.000
2.415	0.053	61	2.440	2.600	2.000
2.469	0.034	62	2.480	2.650	2.000
2.502	0.030	63	2.520	2.683	2.000
2.532	0.054	64	2.560	2.716	2.000
2.586	0.030	65	2.600	2.766	2.000
2.615	0.053	66	2.640	2.800	2.000
2.668	0.033	67	2.680	2.802	2.000
2.702	0.030	68	2.720	2.835	2.000
2.732	0.054	69	2.760	2.868	2.000
2.785	0.030	70	2.800	2.919	2.000
2.815	0.053	71	2.840	2.952	2.000
2.868	0.035	72	2.880	3.002	2.000
2.903	0.029	73	2.920	3.035	2.000
2.932	0.053	74	2.960	3.068	2.000
2.985	0.030	75	3.000	3.158	2.000
3.015	0.055	76	3.040	3.191	2.000
3.070	0.033	77	3.080	3.241	2.000
3.102	0.029	78	3.120	3.274	2.000
3.132	0.055	79	3.160	3.307	2.000
3.186	0.029	80	3.200	3.357	2.000
3.215	0.053	81	3.240	3.391	2.000
3.268	0.047	82	3.280	3.409	2.000
3.315	0.037	83	3.320	3.442	2.000
3.352	0.033	84	3.360	3.492	2.000
3.385	0.030	85	3.400	3.525	2.000
3.415	0.067	86	3.440	3.559	2.000
3.482	0.050	87	3.480	3.608	2.000
3.532	0.019	88	3.520	3.675	2.000
3.551	0.034	89	3.560	3.691	2.000
3.585	0.030	90	3.600	3.773	2.000
3.615	0.053	91	3.640	3.806	2.000
3.668	0.034	92	3.680	3.856	2.000
3.701	0.030	93	3.720	3.890	2.000
3.731	0.054	94	3.760	3.923	2.000
3.786	0.029	95	3.800	3.973	2.000
3.815	0.053	96	3.840	4.006	2.000
3.868	0.033	97	3.880	4.056	2.000
3.901	0.031	98	3.920	4.098	2.000
3.932	0.054	99	3.960	4.131	2.000
3.985	0.030	100	4.000	4.181	3.999
4.015	0.053	101	4.040	4.215	3.999
4.068	0.047	102	4.080	4.265	3.999
4.115	0.036	103	4.120	4.298	3.999
4.151	0.034	104	4.160	4.347	3.999
4.185	0.030	105	4.200	4.381	3.999
4.215	0.054	106	4.240	4.327	3.999
4.269	0.033	107	4.280	4.377	3.999
4.302	0.030	108	4.320	4.411	3.999
4.331	0.055	109	4.360	4.444	3.999
4.386	0.029	110	4.400	4.494	3.999
4.415	0.053	111	4.440	4.527	3.999
4.468	0.033	112	4.480	4.577	3.999
4.501	0.030	113	4.520	4.611	3.999
4.531	0.053	114	4.560	4.692	3.999
4.585	0.030	115	4.600	4.742	3.999
4.615	0.053	116	4.640	4.775	3.999
4.668	0.033	117	4.680	4.825	3.999
4.701	0.030	118	4.720	4.858	3.999
4.731	0.053	119	4.760	4.892	3.999
4.784	0.030	120	4.800	4.942	3.999
4.814	0.053	121	4.840	4.975	3.999
4.867	0.034	122	4.880	4.977	3.999
4.902	0.030	123	4.920	5.010	3.999
4.931	0.053	124	4.960	5.043	3.999
4.984	0.030	125	5.000	5.094	3.999
5.015	0.054	126	5.040	5.127	3.999
5.068	0.033	127	5.080	5.177	3.999
5.102	0.029	128	5.120	5.210	3.999
5.131	0.055	129	5.160	5.292	3.999
5.186	0.028	130	5.200	5.341	3.999
5.214	0.053	131	5.240	5.375	3.999
5.268	0.033	132	5.280	5.425	3.999
5.301	0.030	133	5.320	5.458	3.999
5.331	0.054	134	5.360	5.491	3.999
5.385	0.030	135	5.400	5.542	3.999
5.414	0.053	136	5.440	5.575	3.999
5.467	0.035	137	5.480	5.664	3.999
5.502	0.029	138	5.520	5.697	3.999
5.531	0.053	139	5.560	5.731	3.999
5.584	0.030	140	5.600	5.781	3.999
5.614	0.053	141	5.640	5.814	3.999
5.667	0.033	142	5.680	5.864	3.999
5.700	0.030	143	5.720	5.897	3.999
5.731	0.053	144	5.760	5.931	3.999
5.784	0.030	145	5.800	5.948	3.999
5.814	0.053	146	5.840	5.982	3.999
5.867	0.034	147	5.880	6.032	3.999
5.901	0.030	148	5.920	6.065	3.999
5.931	0.055	149	5.960	6.098	3.999
5.986	0.028	150	6.000	6.148	5.998
6.014	0.054	151	6.040	6.182	5.998
6.068	0.033	152	6.080	6.232	5.998
6.101	0.030	153	6.120	6.313	5.998
6.131	0.054	154	6.160	6.346	5.998
6.184	0.030	155	6.200	6.396	5.998
6.214	0.053	156	6.240	6.430	5.998
6.267	0.035	157	6.280	6.480	5.998
6.302	0.029	158	6.320	6.513	5.998
6.331	0.053	159	6.360	6.546	5.998
6.384	0.030	160	6.400	6.644	5.998
6.414	0.054	161	6.440	6.678	5.998
6.468	0.034	162	6.480	6.727	5.998
6.502	0.029	163	6.520	6.761	5.998
6.531	0.053	164	6.560	6.794	5.998
6.584	0.030	165	6.600	6.844	5.998
6.614	0.053	166	6.640	6.878	5.998
6.667	0.034	167	6.680	6.928	5.998
6.701	0.030	168	6.720	6.834	5.998
6.731	0.053	169	6.760	6.867	5.998
6.783	0.030	170	6.800	6.917	5.998
6.814	0.053	171	6.840	6.950	5.998
6.867	0.033	172	6.880	7.000	5.998
6.900	0.031	173	6.920	7.033	5.998
6.930	0.054	174	6.960	7.067	5.998
6.985	0.029	175	7.000	7.117	5.998
7.014	0.054	176	7.040	7.198	5.998
7.068	0.034	177	7.080	7.248	5.998
