onset	duration	lh_orientation	rh_orientation
0.2165	3.000	135	135
7.8640	3.000	none	135
15.8447	3.000	135	135
23.8088	3.000	45	135
31.8560	3.000	none	135
39.8200	3.000	0	45
47.8506	3.000	135	0
55.8479	3.000	135	none
63.8120	3.000	0	45
71.7756	3.000	45	45
79.8233	3.000	45	none
87.8205	3.000	90	135
95.7845	3.000	90	45
103.8150	3.000	90	none
111.7961	3.000	90	90
119.8098	3.000	90	0
127.8572	3.000	none	0
135.7879	3.000	45	90
143.7685	3.000	45	90
151.7991	3.000	135	45
159.8131	3.000	none	45
167.8271	3.000	0	135
175.8408	3.000	0	0
183.8549	3.000	none	0
191.8190	3.000	135	90
199.8330	3.000	0	0
207.8469	3.000	none	0
215.8112	3.000	45	0
223.7917	3.000	90	90
231.8223	3.000	none	90
