onset	duration	lh_orientation	rh_orientation
0.1685	3.000	0	90
8.1992	3.000	0	none
16.2128	3.000	0	135
24.1936	3.000	135	0
32.1575	3.000	0	45
40.1714	3.000	none	45
48.1190	3.000	45	45
56.1827	3.000	135	90
64.1969	3.000	135	none
72.1773	3.000	90	0
80.1413	3.000	90	90
88.1887	3.000	90	none
96.1195	3.000	45	45
104.1833	3.000	0	135
112.2139	3.000	none	135
120.1447	3.000	90	45
128.1253	3.000	45	45
136.1561	3.000	45	none
144.1866	3.000	0	135
152.1843	3.000	135	0
160.2146	3.000	none	0
168.1950	3.000	135	0
176.1593	3.000	45	135
184.1565	3.000	45	none
192.1703	3.000	90	0
200.1843	3.000	135	135
208.2149	3.000	135	none
216.1457	3.000	90	90
224.1264	3.000	45	90
232.1571	3.000	45	none
