onset	duration	lh_orientation	rh_orientation
0.1582	3.000	45	0
8.2218	3.000	45	none
16.1527	3.000	135	90
24.1170	3.000	45	45
32.2149	3.000	45	none
40.1612	3.000	135	90
48.1261	3.000	90	90
56.2059	3.000	90	none
64.1701	3.000	0	0
72.1842	3.000	0	135
80.2644	3.000	none	135
88.1784	3.000	90	135
96.1756	3.000	135	135
104.2737	3.000	none	135
112.1876	3.000	0	90
120.1518	3.000	135	45
128.2656	3.000	135	none
136.1624	3.000	135	45
144.1604	3.000	90	0
152.1910	3.000	0	135
160.2719	3.000	0	none
168.1349	3.000	45	135
176.1164	3.000	45	45
184.2129	3.000	45	none
192.1768	3.000	0	90
200.1579	3.000	45	0
208.2379	3.000	45	none
216.1861	3.000	90	0
224.1001	3.000	90	45
232.2465	3.000	none	45
