onset	duration	frameidx	videotime	audiotime	lasttrigger
0.033	0.033	1	0.040	0.000	0.000
0.066	0.017	2	0.080	0.000	0.000
0.083	0.050	3	0.120	0.000	0.000
0.133	0.033	4	0.160	0.000	0.000
0.166	0.033	5	0.200	0.000	0.000
0.200	0.050	6	0.240	0.000	0.000
0.250	0.033	7	0.280	0.000	0.000
0.283	0.050	8	0.320	0.000	0.000
0.333	0.033	9	0.360	0.000	0.000
0.366	0.033	10	0.400	0.000	0.000
0.399	0.050	11	0.440	0.000	0.000
0.450	0.033	12	0.480	0.000	0.000
0.483	0.050	13	0.520	0.000	0.000
0.533	0.033	14	0.560	0.000	0.000
0.566	0.033	15	0.600	0.000	0.000
0.599	0.050	16	0.640	0.000	0.000
0.649	0.034	17	0.680	0.000	0.000
0.683	0.050	18	0.720	0.000	0.000
0.733	0.033	19	0.760	0.986	0.000
0.766	0.033	20	0.800	1.020	0.000
0.799	0.050	21	0.840	1.053	0.000
0.849	0.033	22	0.880	1.103	0.000
0.883	0.050	23	0.920	1.136	0.000
0.933	0.033	24	0.960	1.186	0.000
0.966	0.034	25	1.000	1.220	0.000
1.000	0.050	26	1.040	1.253	0.000
1.049	0.033	27	1.080	1.391	0.000
1.083	0.050	28	1.120	1.424	0.000
1.133	0.033	29	1.160	1.474	0.000
1.166	0.033	30	1.200	1.508	0.000
1.199	0.050	31	1.240	1.541	0.000
1.249	0.033	32	1.280	1.591	0.000
1.283	0.050	33	1.320	1.624	0.000
1.333	0.033	34	1.360	1.562	0.000
1.366	0.033	35	1.400	1.596	0.000
1.399	0.050	36	1.440	1.629	0.000
1.449	0.033	37	1.480	1.679	0.000
1.482	0.050	38	1.520	1.712	0.000
1.532	0.033	39	1.560	1.762	0.000
1.566	0.033	40	1.600	1.796	0.000
1.599	0.050	41	1.640	1.829	0.000
1.649	0.033	42	1.680	2.007	0.000
1.682	0.050	43	1.720	2.040	0.000
1.732	0.033	44	1.760	2.090	0.000
