onset	duration	frameidx	videotime	audiotime	lasttrigger
0.033	0.033	1	0.040	0.000	0.000
0.066	0.033	2	0.080	0.000	0.000
0.100	0.034	3	0.120	0.000	0.000
0.133	0.033	4	0.160	0.000	0.000
0.166	0.050	5	0.200	0.000	0.000
0.216	0.033	6	0.240	0.000	0.000
0.250	0.050	7	0.280	0.000	0.000
0.300	0.033	8	0.320	0.000	0.000
0.333	0.033	9	0.360	0.000	0.000
0.366	0.050	10	0.400	0.000	0.000
0.416	0.033	11	0.440	0.000	0.000
0.450	0.050	12	0.480	0.000	0.000
0.500	0.033	13	0.520	0.000	0.000
0.533	0.033	14	0.560	0.000	0.000
0.566	0.050	15	0.600	0.000	0.000
0.616	0.033	16	0.640	0.000	0.000
0.650	0.050	17	0.680	0.000	0.000
0.700	0.033	18	0.720	0.964	0.000
0.733	0.033	19	0.760	0.997	0.000
0.766	0.050	20	0.800	1.031	0.000
0.816	0.033	21	0.840	1.081	0.000
0.849	0.050	22	0.880	1.114	0.000
0.900	0.033	23	0.920	1.164	0.000
0.933	0.033	24	0.960	1.198	0.000
0.966	0.050	25	1.000	1.231	0.000
1.016	0.033	26	1.040	1.329	0.000
1.049	0.050	27	1.080	1.362	0.000
1.099	0.033	28	1.120	1.412	0.000
1.133	0.033	29	1.160	1.445	0.000
1.166	0.050	30	1.200	1.479	0.000
1.216	0.033	31	1.240	1.528	0.000
1.249	0.050	32	1.280	1.562	0.000
1.299	0.033	33	1.320	1.612	0.000
1.333	0.033	34	1.360	1.614	0.000
1.366	0.050	35	1.400	1.647	0.000
1.416	0.033	36	1.440	1.697	0.000
1.449	0.050	37	1.480	1.731	0.000
1.499	0.033	38	1.520	1.781	0.000
1.533	0.033	39	1.560	1.814	0.000
1.566	0.050	40	1.600	1.847	0.000
1.616	0.033	41	1.640	1.897	0.000
1.649	0.050	42	1.680	1.898	0.000
1.699	0.033	43	1.720	1.948	0.000
1.733	0.033	44	1.760	1.981	0.000
1.766	0.050	45	1.800	2.014	0.000
1.816	0.033	46	1.840	2.064	0.000
1.849	0.050	47	1.880	2.098	0.000
1.899	0.033	48	1.920	2.148	0.000
1.933	0.033	49	1.960	2.181	0.000
1.966	0.050	50	2.000	2.168	2.000
2.016	0.033	51	2.040	2.218	2.000
2.049	0.050	52	2.080	2.251	2.000
2.099	0.033	53	2.120	2.301	2.000
2.133	0.033	54	2.160	2.334	2.000
2.166	0.050	55	2.200	2.368	2.000
2.216	0.033	56	2.240	2.417	2.000
2.249	0.050	57	2.280	2.451	2.000
2.299	0.033	58	2.320	2.549	2.000
2.332	0.033	59	2.360	2.582	2.000
2.366	0.050	60	2.400	2.615	2.000
2.416	0.034	61	2.440	2.665	2.000
2.449	0.050	62	2.480	2.699	2.000
2.499	0.033	63	2.520	2.748	2.000
2.532	0.033	64	2.560	2.782	2.000
2.566	0.050	65	2.600	2.815	2.000
2.616	0.033	66	2.640	2.817	2.000
2.649	0.050	67	2.680	2.850	2.000
2.699	0.033	68	2.720	2.900	2.000
2.732	0.033	69	2.760	2.934	2.000
2.766	0.050	70	2.800	2.967	2.000
2.816	0.033	71	2.840	3.017	2.000
2.849	0.050	72	2.880	3.050	2.000
2.899	0.033	73	2.920	3.140	2.000
2.932	0.033	74	2.960	3.173	2.000
2.965	0.050	75	3.000	3.206	2.000
3.015	0.033	76	3.040	3.256	2.000
3.049	0.050	77	3.080	3.289	2.000
3.099	0.033	78	3.120	3.339	2.000
3.132	0.033	79	3.160	3.373	2.000
3.165	0.050	80	3.200	3.406	2.000
3.215	0.033	81	3.240	3.424	2.000
3.249	0.050	82	3.280	3.457	2.000
3.299	0.033	83	3.320	3.508	2.000
3.332	0.033	84	3.360	3.540	2.000
3.365	0.050	85	3.400	3.574	2.000
3.415	0.033	86	3.440	3.624	2.000
3.449	0.050	87	3.480	3.657	2.000
3.499	0.033	88	3.520	3.707	2.000
3.532	0.033	89	3.560	3.788	2.000
3.565	0.050	90	3.600	3.822	2.000
3.615	0.033	91	3.640	3.872	2.000
3.649	0.050	92	3.680	3.905	2.000
3.699	0.033	93	3.720	3.955	2.000
3.732	0.033	94	3.760	3.988	2.000
3.765	0.050	95	3.800	4.022	2.000
3.815	0.033	96	3.840	4.072	2.000
3.849	0.050	97	3.880	4.113	2.000
