onset	duration	lh_orientation	rh_orientation
0.1633	3.000	135	45
8.1773	3.000	none	45
16.1746	3.000	45	135
24.1553	3.000	45	135
32.2026	3.000	none	135
40.2164	3.000	135	0
48.1806	3.000	0	90
56.1781	3.000	none	90
64.2251	3.000	0	135
72.1726	3.000	0	45
80.1697	3.000	135	45
88.1671	3.000	none	45
96.1810	3.000	90	90
104.2119	3.000	0	0
112.2091	3.000	0	none
120.1898	3.000	135	90
128.2041	3.000	0	0
136.2010	3.000	none	0
144.1817	3.000	90	0
152.1625	3.000	45	135
160.1763	3.000	45	none
168.1736	3.000	45	0
176.1377	3.000	90	90
184.1684	3.000	90	none
192.2154	3.000	135	135
200.1296	3.000	90	45
208.1602	3.000	none	45
216.1408	3.000	90	90
224.1382	3.000	45	45
232.1688	3.000	none	45
