onset	duration	lh_orientation	rh_orientation
0.6643	3.000	45	90
8.1954	3.000	45	none
16.1761	3.000	90	135
24.1733	3.000	135	45
32.1707	3.000	none	45
40.2012	3.000	0	0
48.1987	3.000	45	0
56.1792	3.000	45	none
64.1600	3.000	90	90
72.1738	3.000	45	0
80.1711	3.000	45	none
88.2017	3.000	90	135
96.1491	3.000	90	90
104.1966	3.000	135	45
112.1939	3.000	none	45
120.1912	3.000	45	135
128.2220	3.000	0	135
136.2193	3.000	0	none
144.2165	3.000	0	0
152.1970	3.000	90	135
160.1944	3.000	90	none
168.2250	3.000	0	0
176.1723	3.000	135	45
184.1862	3.000	none	45
192.2003	3.000	0	90
200.1976	3.000	135	90
208.1948	3.000	none	90
216.1922	3.000	135	45
224.1560	3.000	45	45
232.1869	3.000	45	none
