onset	duration	lh_orientation	rh_orientation
0.1329	3.000	90	90
8.2960	3.000	90	none
16.2112	3.000	0	135
24.1576	3.000	45	135
32.3208	3.000	none	135
40.1683	3.000	90	90
48.1830	3.000	0	135
56.3294	3.000	none	135
64.1608	3.000	45	45
72.1252	3.000	90	45
80.2880	3.000	90	none
88.1522	3.000	135	45
96.1171	3.000	90	45
104.2640	3.000	none	45
112.2109	3.000	0	135
120.2092	3.000	135	0
128.3220	3.000	none	0
136.2042	3.000	135	0
144.1842	3.000	135	135
152.3305	3.000	none	135
160.2117	3.000	0	0
168.1760	3.000	135	90
176.2893	3.000	none	90
184.1534	3.000	45	0
192.1684	3.000	0	45
200.3049	3.000	0	none
208.1624	3.000	45	90
216.1769	3.000	45	0
224.2898	3.000	45	none
232.1706	3.000	90	90
