onset	duration	lh_orientation	rh_orientation
0.1817	3.000	0	0
8.2122	3.000	none	0
16.1933	3.000	135	90
24.1736	3.000	45	0
32.2044	3.000	none	0
40.1849	3.000	0	45
48.1824	3.000	45	0
56.1795	3.000	45	none
64.1603	3.000	90	90
72.2075	3.000	135	0
80.1714	3.000	90	135
88.1687	3.000	90	none
96.1994	3.000	135	90
104.1466	3.000	90	45
112.1773	3.000	none	45
120.1581	3.000	90	90
128.2053	3.000	0	135
136.2027	3.000	0	none
144.1665	3.000	45	0
152.1806	3.000	45	135
160.1778	3.000	45	none
168.1585	3.000	45	90
176.1725	3.000	0	45
184.2031	3.000	0	none
192.2003	3.000	135	135
200.1811	3.000	0	45
208.1620	3.000	none	45
216.1758	3.000	90	135
224.1565	3.000	135	45
232.1538	3.000	none	45
