onset	duration	lh_orientation	rh_orientation
0.1552	3.000	135	90
8.1860	3.000	135	none
16.1499	3.000	135	90
24.1640	3.000	90	0
32.1945	3.000	none	0
40.2085	3.000	0	0
48.1223	3.000	45	45
56.1532	3.000	none	45
64.1504	3.000	0	45
72.1980	3.000	135	0
80.1956	3.000	135	none
88.2095	3.000	0	0
96.1564	3.000	45	135
104.2043	3.000	none	135
112.1345	3.000	45	90
120.1649	3.000	90	0
128.1790	3.000	90	none
136.1764	3.000	0	45
144.1569	3.000	90	135
152.2042	3.000	none	135
160.1683	3.000	135	45
168.1822	3.000	0	90
176.1962	3.000	135	135
184.2099	3.000	135	none
192.1408	3.000	90	90
200.1215	3.000	45	45
206.1694	3.000	none	45
214.1502	3.000	90	135
222.1639	3.000	45	135
230.1947	3.000	none	135
